idx,vid,total,percentage,simple,weighted_simple,pagerank,elo,entropy,pid,p_name,alias,c_votecount,c_rating,c_average,title_ja,title_en,title_zh,search,rank
4764,v21438,13.353,0.536,0.871,3.511,9771.353,2066.585,0.439,,,苍彼EX2,1413,8.740,8.740,蒼の彼方のフォーリズム EXTRA2,Aokana - Four Rhythms Across the Blue - EXTRA2,苍之彼方的四重奏 EXTRA2,蒼の彼方のフォーリズムextra2aokanafourrhythmsacrosstheblueextra2苍之彼方的四重奏extra2苍彼ex2,14
338,v562,17.400,0.678,0.963,4.107,13101.955,2079.730,0.558,,,The tear flows because of tenderness.\nSakuuta\n사쿠우타,1888,8.730,8.730,サクラノ詩－櫻の森の上を舞う－,,樱之诗－在樱花之森上飞舞－,サクラノ詩櫻の森の上を舞う樱之诗在樱花之森上飞舞thetearflowsbecauseoftendernessnsakuutan,15
5637,v26154,6.426,0.527,0.772,2.438,24649.319,1863.631,0.329,,,,358,8.720,8.720,ジャックジャンヌ,Jack Jeanne,Jack Jeanne,ジャックジャンヌjackjeannejackjeannenan,16
4375,v19987,12.761,0.623,0.887,3.285,16761.907,2222.874,0.420,,,The Great Ace Attorney 2 - The Resolve of Ryuunosuke Naruhodou\nTGAA2\nDGS2\nGreat Turnabout Trial 2\nGrand Turnabout Trial 2\n大逆轉裁判 2 －成步堂龍之介的覺悟－,1350,8.710,8.710,大逆転裁判2 -成歩堂龍ノ介の覺悟-,The Great Ace Attorney 2: Resolve,大逆转裁判 2 －成步堂龙之介的觉悟－,大逆転裁判2成歩堂龍ノ介の覺悟thegreataceattorney2resolve大逆转裁判2成步堂龙之介的觉悟thegreataceattorney2theresolveofryuunosukenaruhodountgaa2ndgs2ngreatturnabouttrial2ngrandturnabouttrial2n大逆轉裁判2成步堂龍之介的覺悟,17
1121,v3144,34.773,0.631,0.966,5.399,7060.662,2349.008,0.564,,,SubaHibi\nすば日々\nすばひび\n素晴日\n圣启示录,9030,8.700,8.700,素晴らしき日々～不連続存在～,Wonderful Everyday ~Diskontinuierliches Dasein~,美好的每一天～不连续存在～,素晴らしき日不連続存在wonderfuleverydaydiskontinuierlichesdasein美好的每一天不连续存在subahibinすば日nすばひびn素晴日n圣启示录,18
4653,v21069,4.987,0.399,0.637,2.135,26183.176,2112.167,0.288,,,BST\n黑羊镇,118,8.700,8.700,BLACK SHEEP TOWN,,黑羊镇,blacksheeptown黑羊镇bstn黑羊镇,19
3,v4,35.239,0.658,0.971,5.540,7262.845,1867.994,0.583,,,クラナド\n团子大家族,10162,8.690,8.690,CLANNAD,CLANNAD,CLANNAD,clannadclannadclannadクラナドn团子大家族,20
6418,v31813,4.984,0.496,0.876,2.638,11761.897,1761.512,0.411,,,,238,8.670,8.670,アマカノ２＋,,甜蜜女友2+,アマカノ甜蜜女友2nan,21
850,v1913,19.501,0.546,0.913,4.252,7064.366,2198.391,0.490,,,バルドスカイ ダイブ2 レコルダーレ\nBSD2\nBaldrsky 2,2428,8.660,8.660,"BALDR SKY Dive2 ""RECORDARE""",,,baldrskydive2recordareバルドスカイダイブ2レコルダーレnbsd2nbaldrsky2,22
427,v777,16.619,0.561,0.924,3.948,8823.511,2100.047,0.478,,,Mahoyo\nProject W,3682,8.650,8.650,魔法使いの夜,Witch on the Holy Night,魔法使之夜,魔法使いの夜witchontheholynight魔法使之夜mahoyonprojectw,23
4,v5,33.771,0.707,0.971,5.298,10883.718,1943.007,0.593,,,LB!\nリトバス！\nritobasu\n小小克星！\n校園剋星！\nLB-EX,8404,8.630,8.630,リトルバスターズ！,Little Busters!,Little Busters!,リトルバスターズlittlebusterslittlebusterslbnリトバスnritobasun小小克星n校園剋星nlbex,24
4505,v20431,9.333,0.572,0.912,3.193,14216.699,2029.353,0.457,,,Sakutoki,718,8.630,8.630,サクラノ刻－櫻の森の下を歩む－,,樱之刻－漫步于樱花之森下－,サクラノ刻櫻の森の下を歩む樱之刻漫步于樱花之森下sakutoki,25
6320,v31055,8.884,0.482,0.887,3.268,9501.086,2040.973,0.428,,,ヘンプリ\nHenpri\n變態監獄,867,8.630,8.630,ヘンタイ・プリズン,HENPRI: HENTAI PRISON,变态监狱,ヘンタイ・プリズンhenprihentaiprison变态监狱ヘンプリnhenprin變態監獄,26
6434,v31929,3.340,0.416,0.624,1.712,16298.452,2031.400,0.227,,,,414,8.630,8.630,,Eternum,永恒世界,eternum永恒世界nan,27
10,v11,46.913,0.676,0.976,6.287,8563.516,2088.221,0.618,,,fsn\nf/sn\nフェイト／ステイナイト\nFate/stay night 20th anniversary edition,17070,8.620,8.620,Fate/stay night,,,fatestaynightfsnnfsnnフェイトステイナイトnfatestaynight20thanniversaryedition,28
6735,v37150,4.507,0.606,0.859,2.300,37087.069,2682.556,0.345,,,マミヤDdD\nMAMIYA DdD\nDdD\nDoomsday編,122,8.600,8.600,世界滅亡共有幻想マミヤ - DoomsDayDreams,,Doomsday編,世界滅亡共有幻想マミヤdoomsdaydreamsdoomsday編マミヤdddnmamiyadddndddndoomsday編,29
4711,v21267,4.484,0.474,0.770,2.215,13790.248,1910.526,0.322,,,Monmusu Quest! Paradox RPG [Part Two]\nMGQP\nParadox,328,8.590,8.590,もんむす・くえすと！　ぱらどっくすRPG中章,,,もんむす・くえすとぱらどっくすrpg中章monmusuquestparadoxrpgparttwonmgqpnparadox,30
5001,v22313,6.104,0.319,0.620,2.461,6571.674,1748.010,0.269,,,SakuMoyu\n樱花摸鱼,646,8.590,8.590,"さくら、もゆ。-as the Night's, Reincarnation-",,"樱花萌放-as the Night's, Reincarnation-",さくらもゆasthenightsreincarnation樱花萌放asthenightsreincarnationsakumoyun樱花摸鱼,31
65,v67,28.619,0.647,0.938,4.767,9956.356,1600.111,0.509,,,When the Cicadas Cry\n寒蟬鳴泣之時\n暮蟬悲鳴時,9117,8.580,8.580,ひぐらしのなく頃に,Higurashi When They Cry - Question Arcs,寒蝉鸣泣之时 出题篇,ひぐらしのなく頃にhigurashiwhentheycryquestionarcs寒蝉鸣泣之时出题篇whenthecicadascryn寒蟬鳴泣之時n暮蟬悲鳴時,32
5697,v26523,18.329,0.513,0.843,3.852,7459.712,1786.837,0.411,,,9ゆきいろ\n9Yukiiro\n9 -Nine- Episode 4: Yuki Noa,2875,8.580,8.580,9-nine-ゆきいろゆきはなゆきのあと,9-nine-:Episode 4,9-nine-雪色雪花雪余痕,9nineゆきいろゆきはなゆきのあと9nineepisode49nine雪色雪花雪余痕9ゆきいろn9yukiiron9nineepisode4yukinoa,33
392,v716,23.329,0.687,0.948,4.305,13591.025,2941.711,0.524,,,Turnabout Trial 3\nAA3\nGS3\nPhoenix Wright: Ace Attorney 3\n逆轉裁判3\nT&T,5747,8.570,8.570,逆転裁判3,Phoenix Wright: Ace Attorney - Trials and Tribulations,逆转裁判3,逆転裁判3phoenixwrightaceattorneytrialsandtribulations逆转裁判3turnabouttrial3naa3ngs3nphoenixwrightaceattorney3n逆轉裁判3ntt,34
590,v1141,8.097,0.464,0.836,3.064,8994.799,2207.886,0.387,,,おれつば\nOretsuba\nWe Don't Have Wings\nWe Without Wings,509,8.570,8.570,俺たちに翼はない ―――under the innocent sky.,,,俺たちに翼はないundertheinnocentskyおれつばnoretsubanwedonthavewingsnwewithoutwings,35
4084,v19035,5.916,0.366,0.615,2.282,13609.273,1915.419,0.267,,,スロダメ\nSurodame,825,8.570,8.570,スロウ・ダメージ,,,スロウ・ダメージスロダメnsurodame,36
3879,v18397,11.350,0.534,0.831,3.228,10927.451,2148.365,0.388,,,The House in Fata Morgana -Another Episodes-\nFata Morgana no Yakata Gaiden\nファタモルガーナの館外伝,2088,8.540,8.540,ファタモルガーナの館 -Another Episodes-,The House in Fata Morgana: A Requiem for Innocence,海市蜃楼之馆：纯真挽歌,ファタモルガーナの館anotherepisodesthehouseinfatamorganaarequiemforinnocence海市蜃楼之馆纯真挽歌thehouseinfatamorganaanotherepisodesnfatamorgananoyakatagaidennファタモルガーナの館外伝,37
414,v751,30.577,0.664,0.956,5.087,8707.021,1984.958,0.552,,,リライト\nRiraito\n罚抄\n改写,7732,8.530,8.530,Rewrite,Rewrite,罚抄,rewriterewrite罚抄リライトnriraiton罚抄n改写,38
2842,v13188,4.099,0.388,0.787,2.498,9839.913,1715.207,0.334,,,Senkoi,264,8.530,8.530,戦国†恋姫～乙女絢爛☆戦国絵巻～,,,戦国恋姫乙女絢爛戦国絵巻senkoi,39
5769,v26987,12.897,0.499,0.874,3.627,7815.607,1862.736,0.429,,,夢青\nMusei\nThe girl who's called the world\nyonagi\nCyanDream,1774,8.510,8.510,白昼夢の青写真,Cyanotype Daydream -The Girl Who Dreamed the World-,白日梦的构想图,白昼夢の青写真cyanotypedaydreamthegirlwhodreamedtheworld白日梦的构想图夢青nmuseinthegirlwhoscalledtheworldnyonagincyandream,40
6022,v28731,5.227,0.358,0.750,2.795,8534.168,1737.614,0.332,,,Mama×Holic ～魅惑的妈妈与甜蜜的榨取～,416,8.510,8.510,Mama×Holic ～魅惑のママと甘々カンケイ～,,Mama×Holic ～魅惑的妈妈与甜蜜的榨取～,mamaholic魅惑のママと甘カンケイmamaholic魅惑的妈妈与甜蜜的榨取mamaholic魅惑的妈妈与甜蜜的榨取,41
1583,v5922,16.707,0.548,0.913,4.086,7578.096,2054.913,0.478,,,Kara no Shoujo 2\n殻2\nウロ\nUro no Shoujo\nKnS2,3040,8.500,8.500,虚ノ少女,Kara no Shojo - The Second Episode,虚之少女,虚ノ少女karanoshojothesecondepisode虚之少女karanoshoujo2n殻2nウロnuronoshoujonkns2,42
1225,v3770,18.681,0.571,0.926,4.367,6558.793,2070.581,0.517,,,Eustia of the Tarnished Wings\n脏翅膀,2440,8.480,8.480,穢翼のユースティア,Aiyoku no Eustia,秽翼的尤斯蒂娅,穢翼のユースティアaiyokunoeustia秽翼的尤斯蒂娅eustiaofthetarnishedwingsn脏翅膀,43
1677,v6639,11.496,0.608,0.893,3.249,16345.907,2058.689,0.413,,,AAI2\nGK2\nTurnabout Prosecutor 2\n逆轉檢事2\nAce Attorney Investigations 2,1650,8.480,8.480,逆転検事2,Ace Attorney Investigations 2: Prosecutor's Gambit,逆转检察官2,逆転検事2aceattorneyinvestigations2prosecutorsgambit逆转检察官2aai2ngk2nturnaboutprosecutor2n逆轉檢事2naceattorneyinvestigations2,44
4501,v20424,18.578,0.646,0.926,4.091,11080.076,1935.268,0.498,,,サマーポケッツ\nサマポケ\nSumPock\nSamapoke\n夏日口袋\nSummer Pockets(無印),3875,8.480,8.480,Summer Pockets,Summer Pockets,Summer Pockets,summerpocketssummerpocketssummerpocketsサマーポケッツnサマポケnsumpocknsamapoken夏日口袋nsummerpockets無印,45
4829,v21675,3.794,0.468,0.859,2.452,12347.431,1749.905,0.371,,,,128,8.480,8.480,アマカノ～Second Season～+,,,アマカノsecondseasonnan,46
1679,v6656,3.534,0.489,0.806,2.141,22300.195,2143.211,0.314,,,The Death Reaper and the Girl,120,8.460,8.460,死神と少女,,,死神と少女thedeathreaperandthegirl,47
6978,v47866,5.014,0.807,0.992,2.366,46451.758,3074.604,0.523,,,MGQP\n勇战R,50,8.450,9.440,もんむす・くえすと！ ぱらどっくすRPG終章,,勇战R,もんむす・くえすとぱらどっくすrpg終章勇战rmgqpn勇战r,48
5868,v27916,4.263,0.643,0.925,2.326,40590.478,3353.272,0.445,,,,54,8.450,9.190,死月妖花～四月八日～,,,死月妖花四月八日nan,49
3443,v16418,2.047,0.221,0.392,1.171,28365.939,2085.954,0.166,,,,62,8.450,8.840,大正メビウスライン 帝都備忘録,,,大正メビウスライン帝都備忘録nan,50
1054,v2888,1.858,0.265,0.598,1.548,16207.668,2239.834,0.217,,,ST3\nSW3\nSakura Wars 3 ~Is Paris Burning?~,71,8.450,8.660,サクラ大戦３～巴里は燃えているか～,,樱花大战3～巴黎在燃烧吗～,サクラ大戦巴里は燃えているか樱花大战3巴黎在燃烧吗st3nsw3nsakurawars3isparisburning,51
16,v17,27.461,0.640,0.958,4.971,8428.835,1828.637,0.546,,,Ever 17\nEbaa Sebuntiin\nエバー・セブンティーン\nE17,8104,8.450,8.450,Ever17 -the out of infinity-,Ever17 -out of infinity-,时空轮回,ever17theoutofinfinityever17outofinfinity时空轮回ever17nebaasebuntiinnエバー・セブンティーンne17,52
893,v2088,1.788,0.124,0.196,0.748,14074.854,1957.962,0.045,,,大メビ\nメビライ,178,8.450,8.450,大正メビウスライン,,,大正メビウスライン大メビnメビライ,53
2447,v11472,4.625,0.396,0.670,2.090,22121.965,2193.063,0.238,,,KenKimi,234,8.450,8.450,剣が君,Ken ga Kimi: The Name of the Sword,剑为君舞,剣が君kengakimithenameofthesword剑为君舞kenkimi,54
3587,v17012,8.566,0.561,0.916,3.179,11089.387,2032.200,0.447,,,Kara no Shoujo 3\nAma no Shoujo\nKnS3\n天少,892,8.450,8.450,天ノ少女,The Shell Part III: Paradiso,天之少女,天ノ少女theshellpartiiiparadiso天之少女karanoshoujo3namanoshoujonkns3n天少,55
3588,v17018,5.915,0.388,0.659,2.361,12083.415,1911.815,0.269,,,Hashihime of Old Book Town,786,8.450,8.450,古書店街の橋姫,Hashihime of the Old Book Town,旧书店街的桥姬,古書店街の橋姫hashihimeoftheoldbooktown旧书店街的桥姬hashihimeofoldbooktown,56
5112,v22728,3.736,0.210,0.424,1.610,14372.300,1798.853,0.176,,,,392,8.440,8.440,シルバー事件25区,The 25th Ward: The Silver Case,The 25th Ward: The Silver Case,シルバー事件25区the25thwardthesilvercasethe25thwardthesilvercasenan,57
3134,v14910,2.967,0.338,0.684,1.953,11625.550,1903.504,0.257,,,シュヴァケン,229,8.420,8.420,シュヴァルツェスマーケン,,,シュヴァルツェスマーケンシュヴァケン,58
2151,v10028,6.535,0.541,0.884,2.969,13943.111,1959.013,0.403,,,The Eternal Chapter In World's End Tale\nColorful Light\nIrohika\n光鸟鸟,470,8.410,8.410,いろとりどりのヒカリ,The Colorful Light -The Eternal Chapter In World's End Tale-,五彩斑斓的曙光,いろとりどりのヒカリthecolorfullighttheeternalchapterinworldsendtale五彩斑斓的曙光theeternalchapterinworldsendtalencolorfullightnirohikan光鸟鸟,59
6415,v31805,2.429,0.432,0.593,1.405,39013.003,2577.175,0.167,,,,73,8.380,8.430,,Misericorde,Misericorde,misericordemisericordenan,60
6710,v36687,2.511,0.417,0.725,1.785,25391.763,2315.929,0.225,,,DC5\n初音島5\n初音岛5,82,8.380,8.420,D.C.5 ～ダ・カーポ5～,,初音島5,dc5ダ・カーポ5初音島5dc5n初音島5n初音岛5,61
5848,v27685,2.394,0.352,0.688,1.855,11360.001,1582.215,0.248,,,"Funbag Fantasy 4 -Brother Astor-, KF4, FF4",113,8.380,8.380,巨乳ファンタジー4 -修道士アストル-,,,巨乳ファンタジー4修道士アストルfunbagfantasy4brotherastorkf4ff4,62
6776,v38511,5.375,0.483,0.824,2.692,11054.654,2217.178,0.379,,,hmaid\noppai maid\nMore! Knock Me Up! A Super Ero-Maid Academy of Fiery Boobs!,314,8.380,8.380,もっと！孕ませ！炎のおっぱい異世界おっぱいメイド学園！,,,もっと孕ませ炎のおっぱい異世界おっぱいメイド学園hmaidnoppaimaidnmoreknockmeupasupereromaidacademyoffieryboobs,63
830,v1842,2.555,0.340,0.643,1.722,16529.105,2016.711,0.249,,,べんがらちょうはくぶつし\nBengara-chou curiosity record.,78,8.370,8.420,紅殻町博物誌,,红壳町博物志,紅殻町博物誌红壳町博物志べんがらちょうはくぶつしnbengarachoucuriosityrecord,64
446,v835,2.647,0.408,0.718,1.821,20649.214,2207.063,0.277,,,Kagerou Note,79,8.370,8.410,霞外籠逗留記,,,霞外籠逗留記kagerounote,65
4551,v20591,2.096,0.290,0.613,1.653,9359.115,1695.492,0.224,,,Shin・Koihime†Musou・Revolution～Son Go's Bloodline～,135,8.370,8.370,真・恋姫†夢想-革命- 孫呉の血脈,,,真・恋姫夢想革命孫呉の血脈shin・koihimemusou・revolutionsongosbloodline,66
1459,v5154,38.115,0.599,0.929,5.856,7516.386,1591.496,0.544,,,グリカジ\ngurikaji\nGrikaji\nGray Scale\nWorld's end\nLe Fruit De La Grisaia\nGNK,12073,8.360,8.360,グリザイアの果実 -LE FRUIT DE LA GRISAIA-,The Fruit of Grisaia,灰色的果实 -LE FRUIT DE LA GRISAIA-,グリザイアの果実lefruitdelagrisaiathefruitofgrisaia灰色的果实lefruitdelagrisaiaグリカジngurikajingrikajingrayscalenworldsendnlefruitdelagrisaiangnk,67
5668,v26391,4.755,0.404,0.618,1.982,14283.150,1608.648,0.237,,,,535,8.360,8.360,,Our Life: Beginnings & Always,Our Life: Beginnings & Always,ourlifebeginningsalwaysourlifebeginningsalwaysnan,68
591,v1143,32.543,0.608,0.938,5.624,8621.932,1794.118,0.545,,,まじこい\nまじ恋\nMajikoi\nDo Love Me Seriously!\nMaji de Jibun ni Koishinasai!\nMaji de Atashi ni Koishinasai!\nMajikoi ~ Oh! Samurai Girls,8679,8.350,8.350,真剣で私に恋しなさい！,Majikoi! Love Me Seriously!!,认真和我谈恋爱！！,真剣で私に恋しなさいmajikoilovemeseriously认真和我谈恋爱まじこいnまじ恋nmajikoindolovemeseriouslynmajidejibunnikoishinasainmajideatashinikoishinasainmajikoiohsamuraigirls,69
651,v1299,9.871,0.492,0.785,3.030,9041.744,2055.867,0.357,,,428: In the Blocked City\n428: Tokyo Scramble\n428: The World Doesn't Change Even So,1453,8.350,8.350,428 〜封鎖された渋谷で〜,428: Shibuya Scramble,428 ～被封锁的涩谷～,428封鎖された渋谷で428shibuyascramble428被封锁的涩谷428intheblockedcityn428tokyoscramblen428theworlddoesntchangeevenso,70
2976,v14018,15.839,0.494,0.865,3.870,7070.903,2011.132,0.418,,,カオスチャイルド\nC;C\nChäoS;Child\nScience Adventure Series #4\nカオチャ,4321,8.350,8.350,CHAOS;CHILD,,混沌之子,chaoschild混沌之子カオスチャイルドnccnchoschildnscienceadventureseries4nカオチャ,71
3803,v18152,4.808,0.397,0.732,2.293,8618.923,1654.276,0.287,,,Flowers Aki-hen\nFLOWERS 秋篇\nFlowers3\nFLOWERS -The volume of autumn-,676,8.350,8.350,FLOWERS -Le volume sur automne-,Flowers -Le volume sur automne-,FLOWERS 秋篇,flowerslevolumesurautomneflowerslevolumesurautomneflowers秋篇flowersakihennflowers秋篇nflowers3nflowersthevolumeofautumn,72
312,v487,19.400,0.482,0.888,4.570,6269.224,1674.944,0.441,,,Rance 7\nRance VII\n兰斯7,5453,8.340,8.340,戦国ランス,Sengoku Rance,战国兰斯,戦国ランスsengokurance战国兰斯rance7nranceviin兰斯7,73
421,v768,6.669,0.554,0.912,3.012,12270.511,2078.936,0.446,,,Battle Goddess Episode 0\nBG0\nIMZ,536,8.340,8.340,戦女神ZERO,,战女神ZERO,戦女神zero战女神zerobattlegoddessepisode0nbg0nimz,74
3218,v15395,6.274,0.481,0.803,2.599,10701.780,1774.822,0.329,,,Flowers Natsu-hen\nFLOWERS 夏篇\nFlowers2\nFLOWERS -The volume of summer-,942,8.340,8.340,FLOWERS -Le volume sur été-,Flowers -Le volume sur ete-,FLOWERS 夏篇,flowerslevolumesurtflowerslevolumesureteflowers夏篇flowersnatsuhennflowers夏篇nflowers2nflowersthevolumeofsummer,75
3681,v17642,7.840,0.420,0.765,2.815,6973.933,2104.653,0.353,,,Rance 03 - Fall of Leazas\nR03,1025,8.340,8.340,ランス03 リーザス陥落,Rance 03 - The Fall of Leazas,兰斯 3,ランス03リーザス陥落rance03thefallofleazas兰斯3rance03fallofleazasnr03,76
6583,v33504,3.163,0.414,0.765,2.046,31083.903,2904.859,0.312,,,Galleria\nLabyrinth of Galleria: Coven of Dusk,72,8.330,8.390,ガレリアの地下迷宮と魔女ノ旅団,Labyrinth of Galleria: The Moon Society,Labyrinth of Galleria: The Moon Society,ガレリアの地下迷宮と魔女ノ旅団labyrinthofgalleriathemoonsocietylabyrinthofgalleriathemoonsocietygallerianlabyrinthofgalleriacovenofdusk,77
7025,v50081,4.609,0.622,0.850,2.277,32998.776,2867.508,0.363,,,TaneUta,93,8.330,8.340,たねつみの歌,Seedsow Lullaby,播种之谣,たねつみの歌seedsowlullaby播种之谣taneuta,78
682,v1358,1.662,0.221,0.462,1.248,10096.104,2041.995,0.166,,,Sakura Taisen 2\nST2\nSW2,119,8.330,8.330,サクラ大戦２～君、死にたもうことなかれ～,,樱花大战II 望君多珍重,サクラ大戦君死にたもうことなかれ樱花大战ii望君多珍重sakurataisen2nst2nsw2,79
1572,v5844,5.613,0.479,0.844,2.646,14621.344,2159.603,0.387,,,K3\nKKK\nかじりかむいかぐら,322,8.330,8.330,神咒神威神楽,,神咒神威神乐 曙光,神咒神威神楽神咒神威神乐曙光k3nkkknかじりかむいかぐら,80
5551,v25635,3.953,0.532,0.853,2.302,13868.328,1764.138,0.356,,,まいてつLR\nMaitetsu LR\nまいてつ続編\nMaitetsu Sequel,244,8.330,8.330,まいてつ Last Run!!,,爱上火车-Last Run!!-,まいてつlastrun爱上火车lastrunまいてつlrnmaitetsulrnまいてつ続編nmaitetsusequel,81
6299,v30919,2.142,0.390,0.647,1.543,26882.421,1807.290,0.242,,,,68,8.320,8.390,,Superhuman,Superhuman,superhumansuperhumannan,82
1861,v7721,13.738,0.578,0.913,3.639,11499.647,2334.428,0.458,,,うたわれるもの2\nUtawarerumono: The False Faces\nUta2,2769,8.320,8.320,うたわれるもの 偽りの仮面,Utawarerumono: Mask of Deception,传颂之物 虚伪的假面,うたわれるもの偽りの仮面utawarerumonomaskofdeception传颂之物虚伪的假面うたわれるもの2nutawarerumonothefalsefacesnuta2,83
2825,v13083,7.181,0.492,0.876,3.181,10032.301,1889.022,0.426,,,,583,8.320,8.320,巨乳ファンタジー外伝2,Funbag Fantasy: Sideboob Story 2,Funbag Fantasy: Sideboob Story 2,巨乳ファンタジー外伝2funbagfantasysideboobstory2funbagfantasysideboobstory2nan,84
3934,v18649,2.167,0.246,0.569,1.683,7241.355,1652.922,0.212,,,,161,8.320,8.320,真・恋姫†夢想-革命- 蒼天の覇王,,,真・恋姫夢想革命蒼天の覇王nan,85
5274,v23741,8.237,0.445,0.843,3.241,8280.074,1773.304,0.383,,,抜きゲーみたいな島に住んでる貧乳（わたし）はどうすりゃいいですか？2\nぬきたし2\nNukitashi2\nIs the prospect Hope or Despair?\n섹섬2\n拔作岛2,928,8.320,8.320,抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか？ 2,NUKITASHI 2,拔作岛2,抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか2nukitashi2拔作岛2抜きゲーみたいな島に住んでる貧乳わたしはどうすりゃいいですか2nぬきたし2nnukitashi2nistheprospecthopeordespairn2n拔作岛2,86
5193,v23077,3.146,0.453,0.747,1.956,24195.825,1986.940,0.275,,,さささぐ\nSasasagu\nMy Dearest Direst Disaster,96,8.310,8.320,最悪なる災厄人間に捧ぐ,,,最悪なる災厄人間に捧ぐさささぐnsasasagunmydearestdirestdisaster,87
637,v1278,5.667,0.593,0.930,2.743,18843.081,2456.320,0.446,,,Farthest,196,8.310,8.310,最果てのイマ,,,最果てのイマfarthest,88
2914,v13802,8.582,0.395,0.728,2.904,6369.215,1990.413,0.338,,,Rance 9 - The Helman Revolution -\nランス９－ヘルマン革命－\nランスⅨ,1087,8.310,8.310,ランスIX－ヘルマン革命－,Rance IX - The Helmanian Revolution,Rance IX - The Helmanian Revolution,ランスixヘルマン革命ranceixthehelmanianrevolutionranceixthehelmanianrevolutionrance9thehelmanrevolutionnランスヘルマン革命nランス,89
