idx,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,votes,avg,std,vid,collection,l1,l2,l3,l4,l5
4176,0,0,3,2,5,14,14,7,2,1,48,6.417,1.498,v19342,286,13,24,13,9,151
4177,2,2,2,6,8,37,53,71,55,61,297,7.886,1.725,v19345,6686,592,2211,352,233,2828
4178,0,0,2,2,4,15,9,10,1,3,46,6.652,1.591,v19346,311,16,28,13,4,195
4179,0,0,0,4,2,25,69,109,33,30,272,7.824,1.206,v19347,0,0,0,0,0,0
4180,0,0,0,0,2,12,8,3,4,1,30,6.933,1.263,v19349,0,0,0,0,0,0
4181,6,2,5,2,11,9,10,3,2,6,56,5.607,2.582,v19350,320,10,99,11,17,94
4182,1,2,0,2,7,8,10,7,4,2,43,6.465,1.981,v19352,341,17,28,15,7,217
4183,0,1,1,4,3,9,14,13,9,4,58,7.121,1.772,v19355,744,33,61,30,9,500
4184,2,1,3,10,7,21,19,14,5,5,87,6.368,1.942,v19365,0,0,0,0,0,0
4185,0,4,8,14,18,8,3,3,0,1,59,4.763,1.598,v19368,7014,542,3023,435,262,2370
4186,1,0,0,4,4,7,16,12,1,2,47,6.723,1.633,v19369,555,18,43,25,2,374
4187,0,1,2,3,8,16,22,59,27,10,148,7.601,1.506,v19372,661,19,51,34,7,455
4188,4,3,4,4,5,11,33,41,37,28,170,7.653,2.056,v19373,864,30,66,45,11,583
4189,2,4,3,3,8,11,18,26,21,13,109,7.248,2.164,v19378,632,32,43,28,9,415
4190,0,0,1,2,5,18,10,8,3,3,50,6.700,1.513,v19382,834,53,94,43,12,481
4191,1,2,4,2,22,14,8,5,0,1,59,5.508,1.609,v19383,0,0,0,0,0,0
4192,14,21,31,84,191,492,728,756,324,208,2849,7.207,1.605,v19385,24421,2842,11004,1896,688,7354
4193,1,3,0,5,3,7,9,10,6,2,46,6.543,2.174,v19387,639,18,75,34,12,405
4194,0,0,0,3,10,13,14,17,7,2,66,6.924,1.470,v19388,4762,285,1415,262,207,2260
4195,7,7,4,7,4,7,2,1,0,0,39,3.718,2.012,v19389,0,0,0,0,0,0
4196,1,0,2,2,5,24,41,43,17,13,148,7.419,1.498,v19391,706,35,94,37,13,431
4197,1,0,1,3,3,16,13,9,2,1,49,6.490,1.567,v19396,5690,539,1936,353,239,2230
4198,0,5,7,13,35,68,121,146,61,43,499,7.335,1.603,v19397,0,0,0,0,0,0
4199,1,4,1,3,4,19,30,17,5,11,95,6.937,1.918,v19399,1824,87,946,109,56,425
4200,0,1,0,3,11,7,10,3,3,2,40,6.300,1.706,v19401,408,17,40,13,5,261
4201,1,1,3,4,4,6,7,2,3,0,31,5.677,2.022,v19406,452,21,36,22,11,271
4202,1,3,3,7,11,34,61,50,28,10,208,7.125,1.624,v19420,372,29,48,22,4,200
4203,2,3,5,10,9,22,9,0,4,1,65,5.369,1.869,v19426,523,24,37,21,11,347
4204,4,16,16,20,54,60,49,26,4,4,253,5.617,1.833,v19427,2932,187,580,173,64,1610
4205,0,2,1,3,3,9,16,26,13,15,88,7.670,1.807,v19441,254,5,34,11,6,139
4206,1,1,0,5,7,6,6,2,0,0,28,5.429,1.613,v19443,10716,1242,3739,988,516,3715
4207,8,16,31,61,183,387,629,587,180,82,2164,7.002,1.504,v19444,7001,445,3866,302,187,1759
4208,0,1,0,2,3,8,16,6,1,1,38,6.632,1.422,v19445,516,33,45,21,4,341
4209,0,0,2,1,8,8,15,19,6,3,62,7.081,1.558,v19446,1338,45,147,53,26,876
4210,2,1,2,6,3,14,10,5,2,1,46,5.891,1.947,v19447,0,0,0,0,0,0
4211,1,1,2,5,6,10,9,5,4,2,45,6.178,2.003,v19452,535,22,89,33,13,274
4212,1,1,1,3,4,12,21,19,6,5,73,7.027,1.736,v19453,8868,724,4369,530,110,2706
4213,2,0,3,5,4,8,9,1,0,1,33,5.455,1.908,v19454,787,48,83,40,10,472
4214,1,0,2,3,9,11,22,25,13,12,98,7.357,1.791,v19455,1442,89,751,76,37,314
4215,1,3,1,1,8,8,13,4,2,0,41,5.927,1.853,v19456,1619,98,408,57,28,764
4216,2,2,2,5,7,14,46,38,35,26,177,7.638,1.812,v19463,657,34,49,24,11,415
4217,1,1,1,3,8,16,32,24,14,9,109,7.211,1.681,v19465,2827,158,420,126,50,1806
4218,0,0,0,1,4,3,7,2,3,1,21,6.857,1.552,v19467,1057,39,235,56,30,553
4219,2,1,11,19,39,70,65,34,6,3,250,6.156,1.519,v19470,401,18,44,22,7,243
4220,1,0,0,0,2,8,16,33,15,9,84,7.857,1.399,v19471,308,8,40,11,13,169
4221,7,3,3,5,13,17,33,32,20,13,146,6.890,2.215,v19474,18576,588,14784,476,244,1871
4222,0,0,1,1,1,2,3,11,5,4,28,7.786,1.698,v19483,1923,87,247,92,30,1286
4223,2,5,1,5,11,19,12,6,6,3,70,6.000,2.098,v19493,966,67,242,57,14,446
4224,0,0,0,1,2,8,13,30,21,19,94,8.213,1.352,v19494,1567,114,272,87,50,829
4225,2,0,0,0,4,11,17,13,7,4,58,7.138,1.736,v19495,507,18,39,20,10,351
4226,2,4,8,12,17,42,29,11,1,1,127,5.740,1.637,v19497,9488,576,4557,543,103,3249
4227,2,1,0,3,5,11,11,8,3,1,45,6.333,1.909,v19499,8021,378,3728,379,66,3021
4228,5,2,6,7,15,57,100,161,92,53,498,7.667,1.610,v19513,652,29,68,28,7,442
4229,9,9,14,23,51,110,147,91,43,22,519,6.628,1.801,v19516,5134,233,3288,172,76,970
4230,1,0,0,0,3,7,15,10,3,7,46,7.391,1.700,v19524,879,38,92,36,15,588
4231,0,1,1,2,10,19,19,10,10,5,77,6.883,1.659,v19535,6916,393,2197,262,116,3505
