idx,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,votes,avg,std,vid,collection,l1,l2,l3,l4,l5
357,0,1,5,3,7,31,56,102,56,16,277,7.661,1.396,v604,968,35,266,39,27,434
358,0,1,1,2,1,4,15,11,2,1,38,6.921,1.579,v609,15387,1054,9473,674,202,3248
359,1,0,4,4,2,15,10,6,0,2,44,6.068,1.814,v610,0,0,0,0,0,0
360,10,11,19,30,81,168,287,162,61,7,836,6.634,1.569,v617,1956,123,653,157,39,744
361,0,1,0,3,4,9,13,6,2,0,38,6.447,1.446,v618,24421,2842,11004,1896,688,7354
362,0,0,1,1,3,3,12,15,2,3,40,7.300,1.470,v620,18576,588,14784,476,244,1871
363,0,0,0,4,1,8,10,9,6,3,41,7.195,1.611,v628,3888,194,1526,169,76,1635
364,5,3,7,29,43,137,229,353,141,51,998,7.406,1.467,v629,15166,443,12291,439,201,1242
365,0,1,0,2,0,7,7,3,4,2,26,6.962,1.829,v639,2269,72,1127,79,11,778
366,0,0,1,9,7,35,52,44,25,7,180,7.194,1.415,v645,3864,129,2756,131,39,595
367,5,7,8,17,28,107,201,402,189,39,1003,7.584,1.420,v646,7897,683,2091,327,51,4281
368,1,1,0,0,3,3,8,24,15,3,58,7.741,1.635,v647,10895,354,8045,452,239,1341
369,0,3,3,5,10,17,33,77,50,60,258,8.078,1.696,v648,3349,275,1085,248,28,1510
370,0,1,1,1,3,7,13,8,4,0,38,6.763,1.546,v657,645,12,391,39,44,76
371,0,0,0,0,2,5,13,8,5,3,36,7.500,1.280,v658,21994,2445,8704,2391,663,6533
372,1,0,0,4,3,6,13,26,11,6,70,7.514,1.671,v660,19805,1695,7782,1348,404,7647
373,1,2,4,5,13,24,34,14,0,6,103,6.369,1.701,v661,19439,1811,9477,1479,436,5269
374,0,0,0,1,4,16,17,14,8,3,63,7.191,1.332,v664,11623,570,6379,588,186,3144
375,0,0,2,1,1,3,11,7,6,3,34,7.353,1.730,v665,9321,681,3558,639,637,3276
376,1,1,1,2,6,14,29,69,49,22,194,7.959,1.467,v666,12150,631,5294,631,411,4388
377,2,24,34,55,97,174,131,60,25,12,614,5.933,1.732,v669,2764,126,803,138,72,1282
378,3,2,1,3,5,19,26,41,7,3,110,6.946,1.747,v682,1028,23,494,18,22,293
379,3,1,4,7,14,33,64,152,72,23,373,7.654,1.497,v683,1176,13,638,15,26,280
380,1,2,0,2,5,11,19,31,8,2,81,7.123,1.628,v684,12421,662,4073,792,487,5637
381,0,2,1,3,5,12,30,30,10,2,95,7.116,1.493,v689,3003,139,951,148,69,1400
382,0,1,0,5,3,11,15,12,6,1,54,6.815,1.588,v690,9170,612,2261,690,246,4729
383,1,8,18,20,45,55,33,23,3,2,208,5.615,1.689,v696,2537,153,431,146,73,1431
384,0,1,6,16,27,81,246,365,185,69,996,7.733,1.285,v697,3778,140,1632,129,50,1435
385,3,1,4,8,19,59,183,218,148,35,678,7.677,1.341,v700,4546,228,1268,243,153,2164
386,2,0,0,4,8,20,51,74,43,12,214,7.636,1.413,v701,4542,208,1847,202,145,1656
387,0,3,5,4,14,37,94,107,60,30,354,7.579,1.487,v702,1414,78,480,107,89,469
388,2,0,5,13,23,61,117,203,107,76,607,7.769,1.507,v710,1722,108,553,87,21,755
389,12,10,17,39,100,337,1391,3284,2039,617,7846,8.067,1.135,v711,1621,95,403,108,32,811
390,0,0,2,0,1,6,6,5,1,6,27,7.333,1.944,v714,22143,1494,10915,1340,578,6938
391,13,10,16,73,161,627,1638,2225,894,268,5925,7.583,1.239,v715,6908,474,1623,440,190,3679
392,15,5,8,17,44,134,449,1645,2249,983,5549,8.563,1.138,v716,5811,334,2063,341,189,2339
393,5,10,25,70,146,469,999,1212,502,141,3579,7.416,1.335,v717,3935,232,1671,235,76,1349
394,0,7,9,22,53,114,143,85,19,7,459,6.536,1.452,v718,2446,109,287,123,42,1632
395,0,2,5,6,19,8,14,3,5,0,62,5.694,1.728,v721,12750,757,5809,785,429,4322
396,0,2,1,11,13,40,39,22,5,6,139,6.547,1.528,v723,1684,43,108,45,15,1293
397,1,2,6,13,25,75,114,111,46,16,409,7.115,1.490,v725,7260,427,2519,490,248,3031
398,1,0,0,3,6,7,16,36,19,9,97,7.691,1.575,v727,1046,25,91,50,9,735
399,0,0,1,5,5,15,27,16,2,3,74,6.797,1.395,v728,1073,60,117,60,13,675
400,4,9,16,34,68,158,310,385,175,65,1224,7.328,1.539,v729,10370,726,4620,697,376,3169
401,8,19,32,53,111,190,193,108,63,54,831,6.463,1.898,v731,538,27,36,16,6,361
402,1,0,1,2,4,13,10,11,1,2,45,6.600,1.665,v732,0,0,0,0,0,0
403,2,6,12,33,43,49,38,17,6,3,209,5.632,1.706,v734,3215,64,185,111,27,2513
404,1,7,8,19,12,11,3,0,2,0,63,4.444,1.621,v735,474,9,20,15,13,336
405,0,5,7,9,5,10,6,2,0,1,45,4.889,1.876,v736,461,24,35,25,8,290
406,6,18,30,54,64,84,40,22,4,5,327,5.242,1.787,v737,2238,185,447,129,52,1217
407,5,14,19,53,66,57,31,16,5,5,271,5.218,1.773,v738,6667,367,3043,343,350,1984
408,4,20,36,70,77,69,46,23,4,5,354,5.150,1.762,v739,2886,166,1075,136,79,1138
409,0,7,19,34,41,55,29,21,3,5,214,5.561,1.728,v740,4793,249,1934,274,142,1770
410,1,0,1,0,5,15,15,9,4,0,50,6.640,1.453,v741,26494,2604,15569,2261,983,4129
411,1,7,12,13,11,6,2,0,0,1,53,4.113,1.610,v744,940,64,107,37,12,570
412,2,1,2,4,3,13,15,16,1,5,62,6.629,1.994,v747,324,14,63,10,7,156
413,0,3,1,2,6,13,17,17,3,3,65,6.723,1.741,v750,628,32,53,35,5,397
414,27,24,33,63,133,293,686,1759,2503,1981,7502,8.539,1.429,v751,1040,78,145,47,40,567
415,0,0,0,2,2,2,5,12,1,7,31,7.742,1.703,v752,424,17,43,23,7,261
416,0,0,0,5,4,5,13,8,3,3,41,6.878,1.656,v759,490,23,43,24,7,316
417,0,2,1,6,4,14,25,10,4,3,69,6.609,1.670,v760,930,10,340,13,17,422
418,0,1,0,2,5,4,13,6,6,3,40,7.050,1.760,v761,1322,65,207,58,22,802
419,0,1,0,3,3,9,14,6,6,8,50,7.260,1.853,v763,0,0,0,0,0,0
420,1,3,8,12,24,53,86,109,60,29,385,7.327,1.663,v765,0,0,0,0,0,0
421,3,4,1,4,7,20,45,161,166,87,498,8.337,1.435,v768,0,0,0,0,0,0
422,0,2,1,5,8,23,26,14,4,4,87,6.609,1.585,v769,741,44,99,39,6,445
423,0,1,3,2,0,2,16,13,3,1,41,6.927,1.758,v770,454,19,52,14,7,279
424,0,1,0,1,3,13,6,4,6,1,35,6.771,1.640,v773,0,0,0,0,0,0
425,1,0,0,2,2,6,14,8,2,0,35,6.714,1.523,v775,0,0,0,0,0,0
426,1,0,3,1,7,17,38,113,84,29,293,8.079,1.316,v776,602,29,46,29,8,386
427,20,8,13,24,41,95,281,978,1160,1064,3684,8.636,1.372,v777,383,21,36,18,4,221
428,1,0,2,1,2,9,19,15,4,3,56,7.036,1.647,v778,2434,108,274,132,26,1606
429,1,3,5,4,7,17,37,48,23,6,151,7.185,1.747,v783,418,26,33,24,9,261
430,1,0,0,0,2,8,11,14,7,2,45,7.356,1.537,v784,2512,97,1242,119,24,766
431,0,0,0,1,3,8,17,18,3,4,54,7.352,1.279,v792,847,43,86,33,17,497
432,0,2,0,9,10,18,51,71,24,9,194,7.366,1.456,v793,0,0,0,0,0,0
433,0,1,1,1,3,6,7,8,5,4,36,7.167,1.908,v799,2019,89,785,123,44,748
434,0,0,0,2,3,2,10,14,12,6,49,7.857,1.512,v800,0,0,0,0,0,0
435,2,0,8,4,8,25,32,52,47,27,205,7.634,1.839,v801,372,23,22,28,4,233
436,0,0,0,1,2,5,4,20,15,7,54,8.093,1.365,v802,4810,207,1671,225,133,2048
437,1,0,0,1,1,5,7,14,5,3,37,7.460,1.702,v804,12310,622,5291,595,204,4791
438,1,0,1,2,3,8,15,26,10,7,73,7.507,1.656,v807,21994,2445,8704,2391,663,6533
439,0,5,6,19,38,73,127,80,32,29,409,6.941,1.628,v808,611,16,217,7,11,256
440,19,17,41,80,176,421,933,2236,1716,771,6410,8.030,1.415,v810,19439,1811,9477,1479,436,5269
441,19,42,81,149,297,605,894,729,311,117,3244,6.817,1.673,v812,4118,222,1746,168,126,1363
442,2,1,0,3,4,8,20,11,9,6,64,7.078,1.971,v817,11623,570,6379,588,186,3144
443,0,1,1,0,5,7,24,41,15,3,97,7.557,1.308,v827,29585,3529,15991,2027,646,6113
444,1,2,5,5,5,25,54,84,53,14,248,7.589,1.545,v828,7301,278,2908,276,89,3294
445,0,0,0,0,1,4,10,10,4,1,30,7.500,1.088,v834,9321,681,3558,639,637,3276
446,0,1,0,0,1,3,15,18,20,15,73,8.274,1.417,v835,354,15,49,17,6,206
447,0,0,2,1,2,6,8,12,3,1,35,7.000,1.586,v836,16678,867,7580,967,387,5860
448,1,0,0,2,5,7,11,13,1,2,42,6.809,1.651,v838,4223,282,835,290,92,2346
449,0,1,2,0,10,22,31,14,8,7,95,6.958,1.549,v840,2215,85,352,67,30,1452
450,2,2,1,0,6,22,55,57,14,5,164,7.244,1.423,v842,0,0,0,0,0,0
451,0,4,13,29,52,67,48,17,6,3,239,5.778,1.524,v843,3879,167,1374,174,80,1588
452,0,0,1,2,7,13,19,32,25,1,100,7.480,1.389,v849,2407,121,959,95,108,786
453,1,0,0,2,1,11,15,16,3,3,52,7.115,1.540,v850,995,31,131,56,30,582
454,1,0,0,3,2,4,12,6,2,1,31,6.677,1.748,v851,13808,521,7998,482,122,3851
455,0,0,0,0,1,5,13,9,9,3,40,7.725,1.224,v852,2809,71,368,53,23,1978
456,2,0,0,0,0,1,9,11,9,3,35,7.714,1.921,v853,6966,348,1969,368,142,3561
457,3,1,1,5,22,53,108,113,56,25,387,7.416,1.464,v857,532,11,188,11,16,217
458,1,1,2,4,10,25,88,87,71,24,313,7.719,1.407,v858,12150,631,5294,631,411,4388
459,0,0,0,2,2,8,8,8,5,2,35,7.171,1.502,v859,3890,126,626,163,69,2475
460,0,1,2,10,19,56,148,197,63,29,525,7.520,1.270,v860,3244,212,1334,139,82,1084
461,0,0,2,2,11,43,107,113,44,17,339,7.510,1.203,v861,11255,887,5061,792,188,3904
462,0,1,0,2,9,28,53,102,45,16,256,7.715,1.253,v862,1028,23,494,18,22,293
463,0,0,2,10,10,8,2,1,0,0,33,5.030,1.141,v868,1176,13,638,15,26,280
464,4,5,10,4,10,9,3,2,1,6,54,5.000,2.575,v869,1386,66,374,64,45,608
465,76,55,54,46,76,96,115,54,39,57,668,5.458,2.715,v870,14382,689,6153,707,311,5661
466,1,0,4,5,9,12,4,0,0,1,36,5.222,1.565,v871,345,10,133,6,6,119
467,0,1,2,5,10,5,5,2,1,3,34,5.824,1.977,v872,444,16,25,19,12,291
468,1,5,4,6,10,21,31,20,9,11,118,6.703,2.027,v875,4580,260,2584,309,72,1004
469,0,0,0,4,1,6,9,14,9,5,48,7.562,1.619,v876,9170,612,2261,690,246,4729
470,1,0,2,4,6,12,7,7,2,3,44,6.318,1.916,v877,0,0,0,0,0,0
471,0,1,0,3,6,7,25,10,1,0,53,6.604,1.294,v882,30170,1144,20527,867,459,5948
472,2,2,3,8,9,6,3,2,0,1,36,4.861,1.903,v884,1577,76,548,60,64,578
473,0,1,1,11,9,4,0,1,0,2,29,5.035,1.732,v885,2386,116,711,104,72,1139
474,2,0,0,5,7,7,2,0,1,0,24,5.083,1.681,v886,1414,81,406,83,46,607
475,0,0,1,5,5,12,36,55,34,32,180,7.989,1.483,v887,207,8,76,8,5,61
476,1,4,7,24,32,81,73,25,5,2,254,6.095,1.441,v888,1294,120,187,107,76,656
477,0,1,1,4,5,33,46,91,34,16,231,7.619,1.336,v889,1245,66,396,59,36,471
478,0,0,1,1,5,5,12,7,5,2,38,7.026,1.581,v892,3188,171,1077,133,117,1283
479,2,1,3,10,7,35,47,64,42,30,241,7.539,1.740,v893,1016,49,220,52,23,477
480,5,11,16,42,83,122,102,53,23,11,468,6.079,1.723,v895,948,45,258,37,40,390
481,7,7,21,83,126,275,360,181,58,24,1142,6.503,1.519,v898,1165,66,501,51,49,298
482,11,14,29,44,110,104,83,22,13,13,443,5.598,1.822,v899,4546,228,1268,243,153,2164
483,6,23,33,49,61,81,79,38,15,7,392,5.612,1.950,v900,1653,41,128,38,15,1212
484,18,37,21,26,17,15,8,3,2,1,148,3.662,2.009,v901,22143,1494,10915,1340,578,6938
485,5,25,23,21,41,26,12,12,4,3,172,4.738,2.056,v902,1248,25,123,36,10,906
486,5,11,24,67,138,300,648,538,233,58,2022,7.109,1.452,v903,3971,185,1414,207,79,1795
487,0,0,0,5,6,5,13,5,2,5,41,6.805,1.784,v908,536,23,254,14,13,144
488,0,0,1,2,6,4,10,8,6,2,39,7.000,1.695,v911,12750,757,5809,785,429,4322
489,0,2,0,0,1,1,15,22,5,4,50,7.620,1.508,v913,1491,51,116,57,21,1054
490,11,12,36,65,127,304,628,1074,621,208,3086,7.621,1.496,v914,7854,355,2749,315,88,3833
491,1,2,3,8,2,18,34,39,15,13,135,7.252,1.804,v915,1929,67,355,62,12,1156
492,1,4,1,8,18,38,48,30,4,9,161,6.609,1.646,v916,2169,56,1047,120,59,702
493,9,15,64,116,203,444,543,263,138,71,1866,6.555,1.654,v917,1938,70,655,75,28,868
494,7,12,30,67,99,239,321,158,77,39,1049,6.589,1.665,v922,11674,444,9083,343,119,1130
495,5,8,14,36,81,208,309,252,135,68,1116,7.109,1.598,v925,8546,259,6974,239,50,529
496,4,8,9,41,69,134,207,109,56,29,666,6.719,1.648,v926,8302,239,6461,248,47,750
497,0,1,2,3,9,23,35,21,12,13,119,7.176,1.653,v931,5290,103,4183,150,43,507
498,4,10,15,45,63,154,265,377,141,82,1156,7.308,1.615,v933,746,31,40,30,5,530
499,3,4,5,24,50,132,222,174,95,46,755,7.185,1.535,v938,1191,42,103,47,27,776
500,1,0,2,2,6,11,21,14,5,4,66,6.894,1.698,v939,946,28,152,28,7,599
501,0,0,2,4,6,16,15,16,14,7,80,7.213,1.730,v943,417,9,26,11,2,301
502,91,66,120,243,495,1416,2988,4728,3421,2275,15843,7.878,1.571,v945,312,16,72,12,4,148
503,0,3,0,2,7,9,8,9,4,1,43,6.442,1.871,v949,484,19,112,19,6,248
504,2,6,6,23,18,19,14,4,6,6,104,5.500,2.112,v951,4810,207,1671,225,133,2048
505,1,1,3,4,11,27,62,97,49,35,290,7.745,1.512,v952,611,16,217,7,11,256
506,10,10,26,56,89,186,198,124,38,21,758,6.363,1.715,v961,19439,1811,9477,1479,436,5269
507,0,1,0,3,3,10,17,18,3,3,58,7.052,1.502,v963,855,17,355,13,13,339
508,0,4,3,4,8,19,33,24,9,12,116,6.991,1.864,v964,11623,570,6379,588,186,3144
509,1,2,1,6,1,13,12,10,8,3,57,6.684,2.036,v968,29585,3529,15991,2027,646,6113
510,0,1,0,11,4,16,10,7,7,1,57,6.333,1.750,v969,16678,867,7580,967,387,5860
511,0,0,0,3,3,6,9,10,4,4,39,7.231,1.640,v970,21856,1947,11780,1102,331,5733
512,7,11,18,30,50,80,82,44,30,19,371,6.251,2.005,v971,3879,167,1374,174,80,1588
513,0,1,0,6,4,12,19,31,15,2,90,7.267,1.526,v972,2407,121,959,95,108,786
514,1,1,2,4,2,13,15,17,5,3,63,6.809,1.833,v975,13808,521,7998,482,122,3851
515,0,0,0,2,3,9,5,15,10,5,49,7.592,1.577,v976,2582,114,769,116,61,1195
516,0,0,0,3,2,7,8,5,6,5,36,7.333,1.764,v978,6966,348,1969,368,142,3561
517,2,16,15,35,53,157,182,99,51,20,630,6.589,1.677,v979,12150,631,5294,631,411,4388
518,0,0,0,1,3,4,5,6,2,4,25,7.360,1.694,v985,3890,126,626,163,69,2475
519,9,5,6,7,4,7,3,1,2,4,48,4.458,2.761,v987,3244,212,1334,139,82,1084
520,7,12,22,50,76,127,164,58,23,5,544,6.081,1.672,v988,6151,334,3086,376,119,1778
521,0,1,5,5,14,11,9,4,2,1,52,5.692,1.693,v989,418,11,155,18,12,149
522,5,11,31,48,66,80,63,44,16,13,377,5.806,1.937,v991,3470,81,2418,104,23,615
523,1,1,0,0,1,5,10,15,15,4,52,7.750,1.708,v992,11255,887,5061,792,188,3904
524,0,0,4,4,4,4,11,1,3,3,34,6.294,2.051,v996,2764,126,803,138,72,1282
525,1,0,0,1,1,4,10,6,4,8,35,7.657,1.941,v1000,1028,23,494,18,22,293
526,1,4,4,9,11,40,65,96,24,15,269,7.216,1.589,v1001,1176,13,638,15,26,280
527,2,1,2,0,5,7,18,25,16,0,76,7.197,1.785,v1002,1386,66,374,64,45,608
528,0,1,2,1,4,2,6,13,1,2,32,6.844,1.922,v1007,14382,689,6153,707,311,5661
529,0,1,2,1,3,7,8,22,4,5,53,7.302,1.755,v1009,12421,662,4073,792,487,5637
530,1,11,18,49,57,68,40,7,9,7,267,5.442,1.724,v1012,18691,2238,9160,1437,326,4848
531,2,10,13,36,48,42,27,13,8,3,202,5.406,1.789,v1013,11879,775,6969,495,93,2961
532,0,0,0,2,1,5,10,7,7,2,34,7.412,1.478,v1014,4580,260,2584,309,72,1004
533,1,2,1,1,3,4,29,51,16,5,113,7.575,1.486,v1023,3700,170,1439,173,97,1379
534,0,0,0,0,2,2,13,15,2,2,36,7.528,1.067,v1024,30170,1144,20527,867,459,5948
535,1,1,0,5,5,10,18,11,9,5,65,6.969,1.873,v1025,3970,147,266,173,53,2941
536,3,4,4,26,39,125,247,343,141,57,989,7.466,1.419,v1027,3778,140,1632,129,50,1435
537,6,18,42,87,84,90,68,18,12,12,437,5.318,1.843,v1030,1425,74,369,67,58,612
538,0,0,1,1,1,7,8,5,3,1,27,6.926,1.514,v1036,4546,228,1268,243,153,2164
539,0,0,1,0,0,4,13,7,3,2,30,7.367,1.329,v1037,3588,278,1646,201,78,1066
540,1,0,1,2,1,8,12,4,5,1,35,6.743,1.794,v1041,22143,1494,10915,1340,578,6938
541,1,0,0,1,4,11,9,17,7,5,55,7.327,1.685,v1042,500,4,214,8,10,150
542,0,1,0,0,2,5,8,29,19,11,75,8.147,1.383,v1046,12750,757,5809,785,429,4322
543,0,0,1,0,1,2,15,11,2,0,32,7.219,1.111,v1049,579,23,100,17,11,348
544,0,1,0,2,4,3,11,15,1,0,37,6.865,1.473,v1051,225,10,50,12,15,65
545,0,1,0,2,3,8,17,30,24,6,91,7.780,1.436,v1052,6667,367,3043,343,350,1984
546,0,6,9,10,15,26,22,13,4,0,105,5.752,1.788,v1055,1097,6,716,8,18,197
547,4,7,17,20,21,42,73,100,40,14,338,6.855,1.943,v1056,4389,276,2113,164,101,1420
548,0,1,1,0,5,6,13,10,3,1,40,6.850,1.558,v1059,2303,89,1221,70,40,661
549,2,1,3,3,2,15,45,56,29,16,172,7.611,1.612,v1060,2616,140,1296,80,44,822
550,0,1,1,0,1,10,7,6,5,4,35,7.200,1.817,v1061,1622,70,791,56,26,494
551,0,0,0,3,1,9,11,10,5,0,39,7.000,1.340,v1062,1945,91,903,61,18,674
552,0,1,8,17,32,36,58,23,4,14,193,6.404,1.713,v1063,26494,2604,15569,2261,983,4129
553,1,0,0,0,2,17,10,5,3,3,41,6.829,1.591,v1065,1960,145,340,94,81,984
554,0,0,1,2,2,5,12,11,7,5,45,7.467,1.641,v1066,232,3,116,4,5,56
555,1,0,1,0,5,11,28,24,12,12,94,7.564,1.575,v1067,748,10,398,9,14,169
556,2,1,1,4,1,5,10,18,4,4,50,6.960,2.135,v1068,930,10,340,13,17,422
557,0,1,0,1,3,5,11,31,16,6,74,7.838,1.415,v1069,368,5,190,1,10,86
558,1,0,0,2,3,3,6,5,3,0,23,6.565,1.884,v1070,211,4,77,4,13,60
559,0,0,1,0,7,5,11,7,6,10,47,7.553,1.820,v1071,0,0,0,0,0,0
560,0,1,0,1,1,7,9,26,11,5,61,7.754,1.433,v1072,0,0,0,0,0,0
561,0,1,0,0,2,16,23,18,4,2,66,7.106,1.232,v1073,15387,1054,9473,674,202,3248
562,1,1,0,0,4,5,11,9,8,1,40,7.100,1.814,v1074,1541,67,737,56,17,509
563,2,0,1,1,1,3,15,27,11,11,72,7.806,1.777,v1076,1600,89,663,64,31,587
564,0,1,3,0,3,8,8,11,4,7,45,7.200,2.007,v1078,12346,331,8570,374,122,2385
565,1,1,2,1,7,18,25,8,6,7,76,6.829,1.780,v1079,787,16,381,14,7,275
566,0,0,3,0,3,6,10,18,4,3,47,7.234,1.627,v1080,1502,71,628,62,21,552
567,0,0,0,0,2,5,7,6,4,2,26,7.423,1.364,v1081,1472,37,1037,39,35,185
568,1,1,1,1,1,4,8,11,5,3,36,7.167,2.048,v1082,1207,30,721,43,43,247
569,0,0,1,1,4,7,14,14,2,1,44,6.977,1.340,v1083,1715,136,552,89,89,682
570,0,1,1,1,3,5,13,10,3,4,41,7.122,1.742,v1084,1184,61,423,53,19,489
571,4,3,2,4,9,32,61,45,17,8,185,6.968,1.708,v1085,670,42,267,26,33,197
572,0,1,1,1,5,13,27,38,17,1,104,7.385,1.325,v1086,4581,313,1274,245,121,2223
573,1,0,1,4,1,17,6,2,2,2,36,6.194,1.777,v1087,4810,207,1671,225,133,2048
574,0,1,0,0,2,3,8,13,1,3,31,7.387,1.559,v1094,21994,2445,8704,2391,663,6533
575,0,0,1,1,0,10,13,10,1,1,37,6.946,1.251,v1095,19805,1695,7782,1348,404,7647
576,1,2,2,1,18,28,57,45,13,5,172,6.971,1.464,v1099,11623,570,6379,588,186,3144
577,0,3,1,0,3,3,10,9,4,5,38,7.105,2.150,v1103,29585,3529,15991,2027,646,6113
578,0,0,1,1,2,7,14,7,6,3,41,7.244,1.527,v1104,6407,376,2648,440,184,2284
579,0,1,0,1,2,6,18,23,10,6,67,7.642,1.432,v1107,16678,867,7580,967,387,5860
580,1,1,1,1,1,12,19,17,5,4,62,7.113,1.676,v1110,21856,1947,11780,1102,331,5733
581,2,1,0,1,9,26,30,13,5,3,90,6.644,1.551,v1111,7971,489,3458,465,297,2673
582,1,0,3,2,7,14,36,33,15,6,117,7.248,1.558,v1115,995,31,131,56,30,582
583,0,1,3,4,4,18,3,9,6,0,48,6.292,1.779,v1120,9560,636,3494,676,216,3874
584,1,2,1,1,10,28,24,14,6,4,91,6.637,1.627,v1125,13808,521,7998,482,122,3851
585,0,1,3,3,1,4,13,4,3,5,37,6.811,2.129,v1126,7666,465,2257,478,155,3791
586,3,0,2,5,6,23,26,26,16,10,117,7.103,1.874,v1130,397,12,43,22,19,216
587,0,0,0,0,3,4,18,21,9,14,69,8.029,1.351,v1131,12150,631,5294,631,411,4388
588,0,1,0,0,4,2,12,11,5,2,37,7.324,1.543,v1136,3890,126,626,163,69,2475
589,0,0,0,0,3,3,5,14,8,0,33,7.636,1.202,v1140,11255,887,5061,792,188,3904
590,6,1,2,4,12,22,31,110,153,165,506,8.589,1.608,v1141,2764,126,803,138,72,1282
591,21,21,29,76,151,408,956,2253,2584,1587,8086,8.348,1.390,v1143,1028,23,494,18,22,293
592,1,2,5,3,18,40,34,26,9,3,141,6.518,1.601,v1145,1386,66,374,64,45,608
593,0,1,1,0,1,7,12,4,4,3,33,7.091,1.730,v1151,513,26,130,16,20,212
594,3,1,0,5,11,28,37,43,31,12,171,7.310,1.725,v1152,14382,689,6153,707,311,5661
595,3,2,1,2,2,16,33,63,30,20,172,7.727,1.685,v1153,787,37,150,37,36,395
596,1,4,15,29,51,113,300,379,176,46,1114,7.432,1.419,v1155,12421,662,4073,792,487,5637
597,0,0,2,1,1,8,6,8,6,1,33,7.061,1.687,v1156,18691,2238,9160,1437,326,4848
598,1,1,1,4,3,7,8,14,5,3,47,6.851,2.021,v1157,11879,775,6969,495,93,2961
599,0,2,1,2,3,8,6,5,1,1,29,6.172,1.877,v1159,2776,114,1481,130,26,794
600,4,1,5,1,10,21,31,39,32,26,170,7.518,1.992,v1160,3700,170,1439,173,97,1379
601,0,1,1,2,1,8,12,12,8,0,45,7.067,1.597,v1165,3778,140,1632,129,50,1435
602,4,3,5,17,21,35,30,15,4,9,143,6.042,1.964,v1166,940,50,207,57,53,415
603,2,2,3,2,5,12,14,17,4,5,66,6.667,2.099,v1170,1674,112,546,97,113,580
604,2,4,1,1,5,11,22,43,21,7,117,7.393,1.849,v1171,1411,65,581,73,41,440
605,1,6,8,17,19,29,18,5,4,4,111,5.550,1.888,v1172,1726,87,665,74,77,569
606,2,1,0,1,3,11,16,18,8,2,62,7.048,1.782,v1173,1751,107,506,89,101,679
