idx,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,votes,avg,std
945,0,0,0,2,3,6,23,8,2,3,47,7.0638,1.2949
946,0,0,1,3,5,9,8,2,0,3,31,6.3226,1.6731
947,1,0,1,1,8,16,22,8,1,3,61,6.5738,1.4982
948,1,1,1,2,4,10,12,4,3,1,39,6.3333,1.8164
949,0,2,0,2,4,9,13,19,5,2,56,7.0357,1.6362
950,0,2,3,6,3,4,5,2,2,1,28,5.5357,2.1294
951,0,1,0,2,1,12,20,41,17,9,103,7.7476,1.3633
952,0,1,4,12,13,24,29,13,2,2,100,6.1600,1.5538
953,1,1,1,2,0,7,10,16,1,6,45,7.1778,1.9696
954,7,10,12,34,101,218,533,708,383,88,2094,7.5138,1.3995
955,7,11,16,40,63,151,366,468,181,60,1363,7.3316,1.5149
956,2,0,0,1,3,3,10,8,5,5,37,7.2432,2.1233
957,0,1,1,1,1,8,8,2,1,1,24,6.3750,1.6786
958,0,1,2,3,7,6,4,1,1,4,29,6.0690,2.1485
959,1,2,0,2,5,11,21,49,23,17,131,7.7863,1.6299
960,0,1,0,1,2,5,10,15,6,2,42,7.3810,1.5268
