idx,vid,appear,total,percentage,simple,weighted_simple,pagerank,elo,entropy,title_ja,title_en,title_zh,alias,search,c_votecount,c_rating,c_average,rank
4653,v21069,1183,4.9873,0.3990,0.6374,2.1355,26183.1756,2112.1666,0.2885,BLACK SHEEP TOWN,,,ときメモ\ntokimemo,BLACK SHEEP TOWN   ときメモ tokimemo,118,8.7000,8.7000,19
3,v4,6958,35.2391,0.6576,0.9705,5.5399,7262.8445,1867.9941,0.5834,CLANNAD,CLANNAD,CLANNAD,トゥハート２\nTH2\nLeaf Visual Novel Series Volume 5,CLANNAD CLANNAD CLANNAD トゥハート２ TH2 Leaf Visual Novel Series Volume 5,10162,8.6900,8.6900,20
6418,v31813,4228,4.9844,0.4958,0.8763,2.6375,11761.8973,1761.5118,0.4108,アマカノ２＋,,甜蜜女友2+,TenInai\nA December Without Angels\nTenshi no Inai Juunigatsu,アマカノ２＋  甜蜜女友2+ TenInai A December Without Angels Tenshi no Inai Juunigatsu,238,8.6700,8.6700,21
850,v1913,5922,19.5014,0.5458,0.9135,4.2524,7064.3658,2198.3911,0.4896,"BALDR SKY Dive2 ""RECORDARE""",,,,"BALDR SKY Dive2 ""RECORDARE""   ",2428,8.6600,8.6600,22
427,v777,5697,16.6193,0.5608,0.9240,3.9482,8823.5107,2100.0471,0.4777,魔法使いの夜,Witch on the Holy Night,魔法使之夜,いつ空\nItsusora,魔法使いの夜 Witch on the Holy Night 魔法使之夜 いつ空 Itsusora,3682,8.6500,8.6500,23
4,v5,6766,33.7709,0.7074,0.9710,5.2981,10883.7184,1943.0073,0.5934,リトルバスターズ！,Little Busters!,Little Busters!,When They Cry 3\nWhen The Seagulls Cry,リトルバスターズ！ Little Busters! Little Busters! When They Cry 3 When The Seagulls Cry,8404,8.6300,8.6300,24
4505,v20431,4267,9.3328,0.5723,0.9116,3.1933,14216.6985,2029.3530,0.4565,サクラノ刻－櫻の森の下を歩む－,,樱之刻－漫步于樱花之森下－,,サクラノ刻－櫻の森の下を歩む－  樱之刻－漫步于樱花之森下－ ,718,8.6300,8.6300,25
6320,v31055,5094,8.8836,0.4817,0.8869,3.2683,9501.0863,2040.9728,0.4283,ヘンタイ・プリズン,HENPRI: HENTAI PRISON,变态监狱,,ヘンタイ・プリズン HENPRI: HENTAI PRISON 变态监狱 ,867,8.6300,8.6300,26
6434,v31929,1869,3.3398,0.4157,0.6239,1.7120,16298.4523,2031.3999,0.2272,,Eternum,永恒世界,シャッフル!\nShaffuru!\nШафл!, Eternum 永恒世界 シャッフル! Shaffuru! Шафл!,414,8.6300,8.6300,27
10,v11,7035,46.9131,0.6762,0.9756,6.2867,8563.5164,2088.2208,0.6180,Fate/stay night,,,クレシェンド\nCrescendo ~Eien Datta Ano Koro~\nCrescendo～永遠だったあの頃～,Fate/stay night   クレシェンド Crescendo ~Eien Datta Ano Koro~ Crescendo～永遠だったあの頃～,17070,8.6200,8.6200,28
6735,v37150,889,4.5073,0.6057,0.8594,2.3005,37087.0687,2682.5561,0.3450,世界滅亡共有幻想マミヤ - DoomsDayDreams,,,Yōjinbō\nYo Jin Bo,世界滅亡共有幻想マミヤ - DoomsDayDreams   Yōjinbō Yo Jin Bo,122,8.6000,8.6000,29
4711,v21267,2915,4.4837,0.4745,0.7702,2.2153,13790.2483,1910.5256,0.3224,もんむす・くえすと！　ぱらどっくすRPG中章,,,,もんむす・くえすと！　ぱらどっくすRPG中章   ,328,8.5900,8.5900,30
5001,v22313,4447,6.1043,0.3192,0.6197,2.4606,6571.6741,1748.0100,0.2685,"さくら、もゆ。-as the Night's, Reincarnation-",,"樱花萌放-as the Night's, Reincarnation-",,"さくら、もゆ。-as the Night's, Reincarnation-  樱花萌放-as the Night's, Reincarnation- ",646,8.5900,8.5900,31
65,v67,6137,28.6187,0.6473,0.9384,4.7667,9956.3559,1600.1109,0.5088,ひぐらしのなく頃に,Higurashi When They Cry - Question Arcs,寒蝉鸣泣之时 出题篇,,ひぐらしのなく頃に Higurashi When They Cry - Question Arcs 寒蝉鸣泣之时 出题篇 ,9117,8.5800,8.5800,32
5697,v26523,5762,18.3292,0.5129,0.8431,3.8517,7459.7115,1786.8373,0.4110,9-nine-ゆきいろゆきはなゆきのあと,9-nine-:Episode 4,9-nine-雪色雪花雪余痕,星之夢,9-nine-ゆきいろゆきはなゆきのあと 9-nine-:Episode 4 9-nine-雪色雪花雪余痕 星之夢,2875,8.5800,8.5800,33
392,v716,5740,23.3293,0.6866,0.9484,4.3047,13591.0251,2941.7115,0.5237,逆転裁判3,Phoenix Wright: Ace Attorney - Trials and Tribulations,逆转裁判3,风-心之呼吸,逆転裁判3 Phoenix Wright: Ace Attorney - Trials and Tribulations 逆转裁判3 风-心之呼吸,5747,8.5700,8.5700,34
590,v1141,4324,8.0971,0.4639,0.8360,3.0638,8994.7987,2207.8857,0.3874,俺たちに翼はない ―――under the innocent sky.,,,,俺たちに翼はない ―――under the innocent sky.   ,509,8.5700,8.5700,35
4084,v19035,2369,5.9156,0.3665,0.6150,2.2818,13609.2734,1915.4195,0.2666,スロウ・ダメージ,,腐姬,腐姬,スロウ・ダメージ  腐姬 腐姬,825,8.5700,8.5700,36
3879,v18397,4342,11.3501,0.5343,0.8312,3.2283,10927.4511,2148.3646,0.3883,ファタモルガーナの館 -Another Episodes-,The House in Fata Morgana: A Requiem for Innocence,海市蜃楼之馆：纯真挽歌,Симфония дождя,ファタモルガーナの館 -Another Episodes- The House in Fata Morgana: A Requiem for Innocence 海市蜃楼之馆：纯真挽歌 Симфония дождя,2088,8.5400,8.5400,37
414,v751,6591,30.5770,0.6642,0.9557,5.0869,8707.0206,1984.9582,0.5522,Rewrite,Rewrite,,Yonjuunichi Yonjuuya no Ame,Rewrite Rewrite  Yonjuunichi Yonjuuya no Ame,7732,8.5300,8.5300,38
2842,v13188,4899,4.0988,0.3884,0.7875,2.4981,9839.9130,1715.2067,0.3336,戦国†恋姫～乙女絢爛☆戦国絵巻～,,,,戦国†恋姫～乙女絢爛☆戦国絵巻～   ,264,8.5300,8.5300,39
5769,v26987,5382,12.8973,0.4990,0.8737,3.6272,7815.6073,1862.7358,0.4288,白昼夢の青写真,Cyanotype Daydream -The Girl Who Dreamed the World-,白日梦的构想图,YU・U・E・N・CHI\nYu. u. e. n. chi,白昼夢の青写真 Cyanotype Daydream -The Girl Who Dreamed the World- 白日梦的构想图 YU・U・E・N・CHI Yu. u. e. n. chi,1774,8.5100,8.5100,40
6022,v28731,5006,5.2269,0.3584,0.7505,2.7952,8534.1677,1737.6137,0.3317,Mama×Holic ～魅惑のママと甘々カンケイ～,,,,Mama×Holic ～魅惑のママと甘々カンケイ～   ,416,8.5100,8.5100,41
1583,v5922,6518,16.7074,0.5482,0.9135,4.0863,7578.0964,2054.9133,0.4776,虚ノ少女,Kara no Shojo - The Second Episode,虚之少女,エックスチェンジ,虚ノ少女 Kara no Shojo - The Second Episode 虚之少女 エックスチェンジ,3040,8.5000,8.5000,42
1225,v3770,6143,18.6814,0.5712,0.9261,4.3672,6558.7928,2070.5810,0.5170,穢翼のユースティア,Aiyoku no Eustia,秽翼的尤斯蒂娅,YMK\nユメミルクスリ ～Drug x Bullying x Interpersonal relationship～\n梦见之药,穢翼のユースティア Aiyoku no Eustia 秽翼的尤斯蒂娅 YMK ユメミルクスリ ～Drug x Bullying x Interpersonal relationship～ 梦见之药,2440,8.4800,8.4800,43
1677,v6639,3640,11.4959,0.6079,0.8926,3.2486,16345.9068,2058.6889,0.4132,逆転検事2,Ace Attorney Investigations 2: Prosecutor's Gambit,逆转检察官2,ファントム\nPoI,逆転検事2 Ace Attorney Investigations 2: Prosecutor's Gambit 逆转检察官2 ファントム PoI,1650,8.4800,8.4800,44
4501,v20424,6032,18.5778,0.6456,0.9264,4.0912,11080.0763,1935.2681,0.4976,Summer Pockets,Summer Pockets,Summer Pockets,The Sagara Family's Enjoyable Life,Summer Pockets Summer Pockets Summer Pockets The Sagara Family's Enjoyable Life,3875,8.4800,8.4800,45
4829,v21675,4420,3.7937,0.4680,0.8590,2.4516,12347.4308,1749.9051,0.3707,アマカノ～Second Season～+,,,,アマカノ～Second Season～+   ,128,8.4800,8.4800,46
1679,v6656,1719,3.5340,0.4887,0.8057,2.1409,22300.1950,2143.2112,0.3144,死神と少女,,盗不走的宝石,ラジカル・ドリーマーズ\nRADICAL DREAMERS -The Forbidden Treasure-\n盗不走的宝石,死神と少女  盗不走的宝石 ラジカル・ドリーマーズ RADICAL DREAMERS -The Forbidden Treasure- 盗不走的宝石,120,8.4600,8.4600,47
