vid,appear
v2894,176
v2895,1806
v2896,2435
v2897,3681
v2898,50
v2899,3
v2900,38
v2902,6
v2903,1830
v2904,1566
v2907,692
v2908,1170
v2909,851
v2910,129
v2911,255
v2912,269
v2913,17
v2914,190
v2916,4110
v2917,117
v2918,167
v2919,1228
v2922,30
v2923,233
v2924,49
v2925,202
v2926,18
v2927,515
v2928,812
v2929,248
v2930,1032
v2931,309
v2932,1488
v2933,2746
v2934,1178
v2936,1405
v2937,235
v2938,1305
v2939,1736
v2940,73
v2941,20
v2942,1118
v2944,10
v2945,45
v2946,100
v2947,146
v2948,80
v2949,331
v2950,532
v2951,561
v2952,305
v2953,24
v2954,2293
v2955,412
v2956,1518
v2957,248
v2959,4374
v2960,11
v2962,655
v2963,749
v2964,619
v2965,2723
v2966,320
v2968,4369
v2969,1494
v2970,3899
v2971,3225
v2973,1339
v2975,86
v2976,6
v2977,397
v2978,433
v2979,1
v2980,65
v2982,312
v2984,108
v2986,1
v2988,8
v2989,154
v2990,132
v2991,17
v2992,4
v2994,230
v2995,66
v2996,662
v2997,2
v2998,46
v2999,2434
v3000,2681
v3002,2565
v3003,982
v3004,804
v3005,2
v3006,451
v3007,637
v3009,441
v3010,1058
v3013,607
v3014,515
v3015,127
v3016,715
v3017,33
v3018,505
v3019,2953
v3023,189
v3026,928
v3027,220
v3028,118
v3029,118
v3030,2879
v3031,4153
v3032,2450
v3033,1951
v3034,2823
v3035,68
v3036,10
v3037,1
v3039,357
v3043,223
v3044,200
v3045,61
v3046,22
v3048,172
v3049,48
v3050,1
v3051,51
v3052,1865
v3053,4658
v3055,32
v3056,3
v3057,646
v3059,1397
v3061,243
v3064,17
v3066,4790
v3067,2174
v3068,294
v3069,1364
v3071,1402
v3072,10
v3073,316
v3076,90
v3077,58
v3079,3063
v3081,1710
v3083,30
v3084,1121
v3087,376
v3091,1884
v3092,84
v3093,1
v3094,155
v3095,2638
v3096,1297
v3098,1492
v3099,398
v3100,1640
v3101,109
v3102,214
v3103,76
v3104,153
v3105,180
v3106,65
v3107,1924
v3108,52
v3109,27
v3110,2369
v3111,1998
v3112,6021
v3113,4520
v3114,506
v3115,1957
v3116,27
v3118,6
v3120,109
v3122,19
v3124,1324
v3125,34
v3126,4046
v3127,205
v3128,2823
v3129,1771
v3130,245
v3132,944
v3133,32
v3134,1631
v3139,1055
v3142,2
v3144,8545
v3149,42
v3151,63
v3152,65
v3153,116
v3155,861
v3156,139
v3158,5
v3160,2583
v3161,8336
v3162,54
v3163,109
v3164,89
v3165,134
v3167,117
v3168,16
v3169,176
v3171,3151
v3172,1142
v3173,240
v3176,186
v3177,17
v3179,238
v3181,150
v3182,58
v3183,39
v3184,1781
v3185,1790
v3187,11
v3191,1
v3192,367
v3193,154
v3194,2167
v3195,318
v3196,110
v3200,1335
v3204,520
v3205,12
v3206,4
v3207,5
v3208,1233
v3209,106
v3210,1
v3212,4
v3214,3
v3216,2397
v3217,694
v3218,1257
v3219,862
v3220,99
v3221,115
v3224,2
v3225,246
v3226,774
v3227,1872
v3228,1026
v3229,1495
v3230,3903
v3233,7
v3234,2307
v3235,3380
v3237,1459
v3238,4
v3239,334
v3240,2007
v3241,15
v3242,950
v3243,207
v3244,140
v3245,1234
v3246,2107
v3249,2200
v3250,1143
v3251,225
v3252,453
v3253,3
v3255,97
v3260,170
v3261,24
v3263,18
v3265,10
v3266,2
v3268,12
v3269,3540
v3270,217
v3271,5300
v3272,3005
v3273,572
v3274,717
v3275,309
v3276,653
v3277,165
v3279,178
v3282,394
v3283,189
v3284,311
v3285,346
v3286,13
v3292,428
v3293,207
v3294,3278
v3295,102
v3296,127
v3297,140
v3300,5
v3302,15
v3304,272
v3305,499
v3306,1841
v3307,1570
v3308,42
v3310,28
v3311,156
v3312,808
v3313,313
v3314,27
v3315,790
v3317,848
v3319,2583
v3320,1367
v3322,273
v3323,69
v3324,7
v3325,3207
v3326,19
v3327,1951
v3330,16
v3333,1218
v3334,1897
v3335,1481
v3336,1261
v3337,687
v3338,252
v3341,784
v3342,73
v3343,3346
v3344,1386
v3345,844
v3346,4486
v3348,407
v3351,12
v3352,278
v3353,1197
v3356,3307
v3357,21
v3358,1497
v3360,393
v3361,341
v3362,300
v3363,255
v3364,138
v3365,59
v3366,154
v3367,802
v3368,1535
v3369,203
v3370,1585
v3371,5688
v3372,1332
v3373,617
v3374,299
v3375,31
v3377,13
v3378,1
v3380,2398
v3381,239
v3383,9
v3384,350
v3388,1729
v3389,573
v3391,1769
v3392,925
v3395,41
v3396,2
v3397,40
v3398,568
v3401,71
v3403,192
v3404,639
v3411,120
v3413,4422
v3414,4
v3415,893
v3416,163
v3418,17
v3419,58
v3420,886
v3422,31
v3423,103
v3424,608
v3425,1
v3427,94
v3433,1301
v3442,480
v3445,470
v3447,533
v3448,269
v3450,2
v3451,165
v3452,688
v3454,14
v3455,216
v3456,1351
v3457,2599
v3458,2871
v3459,258
v3481,73
v3482,17
v3490,676
v3493,171
v3494,1965
v3496,5018
v3497,749
v3498,220
v3499,293
v3500,854
v3501,86
v3502,6
v3508,1
v3521,3
v3525,10
v3528,5
v3529,7
v3531,193
v3533,4
v3536,30
v3537,4073
v3538,740
v3541,14
v3543,102
v3544,151
v3548,2
v3549,1217
v3553,2605
v3555,881
v3556,74
v3557,92
v3558,40
v3560,66
v3562,3
v3564,29
v3570,38
v3571,164
v3580,2
v3581,28
v3597,136
v3599,103
v3602,5032
v3603,15
v3615,558
v3619,237
v3620,355
v3623,1
v3624,96
v3625,879
v3626,755
v3631,41
v3632,3147
v3643,851
v3644,552
v3650,1
v3659,168
v3660,997
v3663,2097
v3666,37
v3670,4
v3671,3708
v3672,359
v3674,147
v3679,185
v3683,3888
v3684,2535
v3687,50
v3690,27
v3691,26
v3692,168
v3694,222
v3695,108
v3696,514
v3697,565
v3699,546
v3700,2
v3702,7
v3703,16
v3706,6586
v3707,283
v3708,278
v3709,90
v3710,256
v3711,1295
v3714,1050
v3715,286
v3718,64
v3719,1113
v3720,2727
v3723,57
v3738,1015
v3743,161
v3745,979
v3746,3588
v3749,140
v3750,930
v3752,2068
v3753,771
v3755,299
v3757,922
v3758,209
v3759,1
v3760,11
v3762,42
v3764,14
v3765,37
v3766,1
v3767,2230
v3769,13
v3770,7096
v3774,77
v3775,15
v3778,1166
v3779,573
v3780,177
v3781,145
v3782,11
v3784,1109
v3785,330
v3787,719
v3788,314
v3789,2818
v3790,948
v3792,955
v3793,400
v3794,8
v3804,410
v3807,21
v3810,1109
v3811,16
v3812,814
v3814,266
v3815,2092
v3816,1434
v3817,39
v3818,434
v3820,46
v3821,882
v3822,483
v3823,1028
v3824,114
v3825,976
v3827,96
v3829,240
v3830,676
v3833,1203
v3834,216
v3836,126
v3837,280
v3840,940
v3841,501
v3842,45
v3845,250
v3846,260
v3847,8
v3848,371
v3849,11
v3850,828
v3851,3643
v3852,263
v3853,1670
v3856,929
v3857,491
v3858,185
v3859,1973
v3860,2194
v3861,2862
v3862,472
v3863,774
v3864,8
v3865,194
v3866,1599
v3870,35
v3871,1203
v3874,102
v3875,456
v3876,50
v3880,21
v3881,562
v3883,1520
v3884,3970
v3886,390
v3887,1776
v3888,226
v3889,130
v3890,825
v3891,221
v3892,1491
v3893,202
v3895,15
v3896,7161
v3898,266
v3900,237
v3901,5
v3904,23
v3905,55
v3906,322
v3907,242
v3908,431
v3909,260
v3911,237
v3912,11
v3913,4
v3914,3
v3915,2055
v3916,1508
v3917,2881
v3918,16
v3919,1422
v3920,302
v3921,5219
v3922,86
v3923,683
v3924,480
v3925,5
v3930,546
v3938,4214
v3939,2593
v3940,137
v3941,2368
v3942,351
v3943,856
v3944,431
v3945,78
v3946,847
v3947,6551
v3951,452
v3952,187
v3954,1482
v3956,286
v3958,35
v3959,206
v3960,105
v3961,290
v3962,215
v3963,47
v3964,272
v3965,198
v3967,40
v3968,42
v3970,2984
v3971,2265
v3972,15
v3973,2816
v3977,645
v3979,3330
v3980,3
v3981,270
v3984,821
v3986,38
v3987,3587
v3988,2638
v3989,858
v3990,485
v3991,33
v3992,2436
v3993,67
v3994,2810
v3998,586
v3999,496
v4000,385
v4001,308
v4004,1085
v4005,165
v4006,532
v4008,178
v4009,3950
v4010,366
v4012,13
v4016,3
v4017,3230
v4020,62
v4021,2087
v4023,861
v4025,417
v4026,238
v4027,401
v4028,7121
v4029,1044
v4030,301
v4031,33
v4032,31
v4037,9114
v4038,4061
v4039,158
v4040,4784
v4041,7152
v4042,1169
v4043,73
v4044,84
v4045,8
v4048,44
v4051,189
v4053,10
v4054,687
v4055,596
v4056,141
v4057,573
v4058,1012
v4059,125
v4060,3261
v4062,65
v4063,558
v4065,198
v4067,25
v4068,30
v4069,143
v4070,100
v4071,607
v4072,2
v4074,703
v4075,102
v4076,2572
v4077,1363
v4080,202
v4085,733
v4086,206
v4090,377
v4091,1062
v4092,435
v4093,1422
v4094,4109
v4095,2287
v4096,1002
v4099,2043
v4101,690
v4102,232
v4103,1846
v4104,401
v4105,436
v4106,479
v4107,1755
v4110,470
v4111,1860
v4112,535
v4116,359
v4118,1404
v4119,811
v4120,2692
v4121,5
v4122,433
v4123,67
v4124,1147
v4125,686
v4126,45
v4127,61
v4128,784
v4129,1035
v4131,1724
v4132,31
v4133,34
v4134,1513
v4135,739
v4136,1562
v4137,2466
v4140,34
v4141,44
v4142,133
v4143,26
v4144,858
v4145,897
v4146,60
v4147,64
v4151,55
v4153,4051
v4154,1584
v4156,97
v4160,18
v4162,40
v4163,2
v4180,3
v4181,11
v4183,17
v4184,14
v4185,708
v4188,206
v4189,1844
v4190,142
v4191,186
v4192,161
v4194,458
v4198,58
v4199,118
v4200,72
v4201,165
v4202,423
v4204,280
v4205,74
v4206,68
v4207,18
v4209,323
v4210,21
v4211,101
v4215,398
v4217,1720
v4218,23
v4219,1
v4220,20
v4223,1253
v4229,4
v4230,212
v4231,787
v4232,2502
v4234,1980
v4235,164
v4239,10
v4241,1
v4242,10
v4243,27
v4244,482
v4245,571
v4246,49
v4247,7
v4249,160
v4250,1480
v4251,31
v4253,2
v4254,238
v4255,202
v4257,808
v4258,1396
v4259,1897
v4261,3
v4265,656
v4266,9
v4268,5
v4269,1
v4271,1939
v4272,7
v4275,41
v4277,131
v4278,399
v4279,171
v4280,73
v4281,34
v4282,31
v4286,8
v4287,1206
v4289,402
v4291,88
v4292,740
v4296,13
v4297,502
v4301,151
v4302,189
v4307,89
v4308,6
v4309,33
v4312,28
v4315,99
v4318,1
v4319,1
v4321,1
v4324,905
v4329,19
v4330,332
v4332,4
v4333,159
v4334,1449
v4335,1
v4338,247
v4339,48
v4345,250
v4349,13
v4350,19
v4351,468
v4352,288
v4353,254
v4354,51
v4355,491
v4356,3933
v4360,3
v4361,46
v4362,73
v4363,73
v4364,9
v4365,121
v4366,16
v4367,59
v4370,15
v4371,1672
v4372,1191
v4373,432
v4374,299
v4375,174
v4376,98
v4377,161
v4379,120
v4380,179
v4381,8
v4385,754
v4386,78
v4387,344
v4389,749
v4390,25
v4391,114
v4392,948
v4393,48
v4394,70
v4395,189
v4397,271
v4399,1887
v4400,1435
v4401,967
v4403,499
v4404,722
v4405,53
v4406,1954
v4407,1343
v4408,4332
v4409,375
v4411,89
v4412,15
v4413,831
v4414,4094
v4415,118
v4416,366
v4417,105
v4418,1658
v4419,35
v4420,1
v4421,66
v4422,26
v4423,49
v4424,43
v4427,3
v4429,3608
v4430,2
v4432,2
v4435,44
v4436,2
v4439,5317
v4440,6
v4441,600
v4443,304
v4444,12
v4447,297
v4448,103
v4449,4
v4450,230
v4451,540
v4454,5
v4455,2
v4458,1205
v4459,2
v4460,181
v4462,23
v4463,1647
v4464,143
v4466,220
v4475,230
v4476,40
v4477,15
v4478,2
v4480,5
v4481,80
v4482,753
v4483,873
v4486,2216
v4491,1370
v4492,101
v4494,322
v4495,970
v4498,7
v4499,1
v4500,1
v4501,280
v4503,2612
v4504,1321
v4506,286
v4510,2632
v4511,923
v4513,580
v4519,105
v4521,486
v4523,5
v4525,63
v4526,1
v4529,114
v4530,142
v4538,2
v4540,862
v4541,908
v4542,374
v4543,329
v4556,282
v4558,7
v4560,34
v4562,465
v4563,1
v4564,8
v4567,434
v4568,122
v4569,61
v4571,87
v4572,394
v4573,34
v4578,723
v4579,477
v4582,184
v4583,329
v4594,184
v4597,812
v4598,141
v4599,2775
v4600,366
v4601,77
v4602,704
v4604,204
v4608,139
v4614,1101
v4615,340
v4616,13
v4617,1310
v4621,24
v4622,3878
v4623,68
v4624,4620
v4625,34
v4626,145
v4628,5
v4633,265
v4634,5
v4636,20
v4637,3673
v4639,365
v4640,9
v4643,3
v4644,30
v4645,1901
v4646,14
v4647,549
v4648,29
v4650,2137
v4651,4971
v4652,1295
v4653,134
v4654,4
v4656,1
v4657,16
v4658,4
v4661,15
v4662,90
v4664,25
v4670,62
v4671,134
v4672,99
v4676,11
v4677,75
v4678,1
v4679,69
v4680,417
v4681,91
v4682,43
v4685,4
v4688,138
v4690,92
v4692,554
v4693,188
v4694,222
v4695,7
v4696,250
v4697,50
v4699,19
v4700,20
v4701,42
v4702,82
v4703,968
v4704,62
v4705,34
v4707,2967
v4718,1490
v4719,193
v4724,20
v4727,1
v4728,53
v4731,140
v4738,813
v4739,19
v4741,234
v4743,1
v4745,2
v4746,36
v4753,4
v4754,77
v4758,366
v4759,239
v4760,6
v4762,423
v4763,107
v4765,77
v4766,13
v4767,1955
v4768,205
v4771,40
v4773,156
v4774,209
v4776,18
v4777,51
v4778,354
v4779,2
v4781,776
v4782,257
v4783,75
v4787,26
v4788,15
v4789,83
v4791,844
v4793,245
v4794,163
v4795,298
v4798,941
v4799,7
v4802,838
v4803,2139
v4805,25
v4806,7455
v4807,26
v4811,1024
v4814,845
v4815,66
v4820,10
v4822,2110
v4823,394
v4824,5
v4826,3213
v4827,768
v4830,18
v4831,1749
v4832,29
v4835,32
v4837,793
v4839,385
v4842,1
v4845,48
v4847,32
v4848,1092
v4850,45
v4851,2986
v4852,5736
v4853,44
v4854,76
v4857,5330
v4859,42
v4860,584
v4861,221
v4862,2045
v4863,12
v4867,2
v4868,1718
v4869,16
v4870,150
v4871,74
v4873,44
v4874,82
v4875,108
v4876,1909
v4877,197
v4878,244
v4879,13
v4880,5653
v4883,3337
v4884,1
v4885,1855
v4886,764
v4887,88
v4888,46
v4889,81
v4890,119
v4891,43
v4892,388
v4893,2391
v4894,1028
v4895,194
v4896,323
v4903,2
v4905,3142
v4906,3213
v4907,2188
v4908,1494
v4909,3162
v4910,1005
v4914,17
v4916,15
v4918,170
v4919,12
v4921,174
v4924,5
v4925,1
v4926,83
v4930,166
v4936,2450
v4940,1875
v4942,4382
v4948,630
v4955,383
v4956,8
v4959,2
v4962,3318
v4963,147
v4964,2
v4965,4
v4968,75
v4970,12
v4971,43
v4972,46
v4975,2
v4979,754
v4981,4824
v4982,81
v4983,49
v4984,820
v4985,2019
v4986,582
v4988,122
v4989,136
v4991,467
v4993,936
v4994,236
v4995,451
v4996,630
v4997,859
v4998,109
v4999,229
v5000,4062
v5004,495
v5005,381
v5007,253
v5010,7
v5011,50
v5012,1359
v5013,770
v5014,654
v5015,852
v5016,105
v5017,268
v5018,578
v5024,55
v5027,111
v5029,289
v5030,1445
v5032,470
v5033,4141
v5034,936
v5035,7
v5036,872
v5037,238
v5038,2
v5043,413
v5044,187
v5045,209
v5046,305
v5047,288
v5050,2431
v5055,447
v5056,3
v5057,7
v5059,3
v5061,467
v5066,1338
v5067,1039
v5068,671
v5069,589
v5070,1338
v5071,2572
v5072,14
v5073,4424
v5074,274
v5075,2846
v5076,31
v5077,4116
v5079,107
v5080,371
v5081,5
v5082,3762
v5083,567
v5084,18
v5085,152
v5088,78
v5089,28
v5093,430
v5094,21
v5095,22
v5097,122
v5098,154
v5100,1082
v5101,1057
v5107,300
v5108,2947
v5109,121
v5110,335
v5111,329
v5112,65
v5113,9
v5118,83
v5119,410
v5121,422
v5123,5
v5124,79
v5125,28
v5127,1672
v5128,213
v5131,71
v5133,1438
v5134,178
v5135,143
v5136,851
v5137,1766
v5143,2028
v5144,142
v5145,2176
v5146,30
v5147,2283
v5148,13
v5149,1
v5150,52
v5151,35
v5152,361
v5153,1264
v5154,10529
v5155,4046
v5156,230
v5158,120
v5159,213
v5160,3105
v5161,36
v5162,2330
v5163,794
v5165,23
v5170,349
v5171,49
v5172,62
v5173,97
v5174,50
v5175,47
v5176,74
v5177,68
v5178,80
v5179,60
v5180,40
v5181,26
v5182,40
v5183,27
v5184,45
v5185,28
v5186,37
v5187,29
v5188,260
v5189,1752
v5190,433
v5191,88
v5192,20
v5193,1788
v5194,223
v5196,16
v5197,245
v5201,98
v5202,5
v5209,2027
v5210,1463
v5213,390
v5215,21
v5216,6
v5218,6
v5219,1317
v5220,94
v5221,61
v5222,2571
v5223,130
v5224,630
v5225,189
v5226,358
v5227,258
v5230,4852
v5231,1337
v5232,1605
v5233,7
v5234,29
v5236,279
v5237,107
v5238,23
v5240,6050
v5242,91
v5243,699
v5244,2881
v5246,1164
v5247,83
v5250,20
v5251,30
v5252,46
v5256,1464
v5257,340
v5258,1131
v5259,2606
v5261,1767
v5262,118
v5266,58
v5268,1
v5269,60
v5270,1353
v5271,802
v5272,3301
v5277,150
v5279,245
v5280,10
v5281,2382
v5282,373
v5285,1078
v5286,5457
v5288,7
v5289,2224
v5290,222
v5292,1214
v5293,481
v5295,7817
v5296,313
v5297,93
v5298,645
v5299,2891
v5300,218
v5301,511
v5302,113
v5303,58
v5304,190
v5308,2
v5309,3
v5310,17
v5313,1399
v5316,4484
v5317,508
v5318,1
v5319,468
v5320,4
v5321,3
v5322,394
v5323,18
v5324,26
v5327,98
v5328,988
v5333,320
v5340,1336
v5341,209
v5345,168
v5348,11
v5349,3355
v5350,79
v5351,106
v5353,176
v5355,6
v5356,1
v5357,3
v5358,402
v5360,89
v5361,27
v5362,829
v5363,196
v5364,465
v5365,9
v5366,1
v5367,21
v5372,41
v5379,20
v5381,2317
v5384,269
v5386,33
v5387,119
v5388,39
v5390,576
v5391,51
v5392,1635
v5393,364
v5394,380
v5395,15
v5396,157
v5397,2332
v5398,78
v5399,206
v5400,948
v5401,100
v5402,583
v5403,1827
v5408,695
v5409,1681
v5410,375
v5411,73
v5412,2089
v5416,201
v5418,1531
v5423,4
v5424,4
v5425,396
v5426,197
v5428,59
v5429,398
v5431,1143
v5432,613
v5433,3352
v5434,28
v5435,1206
v5436,121
v5442,307
v5443,3078
v5444,506
v5445,2722
v5446,41
v5451,1904
v5452,355
v5453,197
v5457,56
v5461,23
v5467,14
v5469,46
v5471,280
v5472,297
v5473,326
v5474,221
v5476,258
v5477,389
v5478,749
v5479,4
v5481,1317
v5482,1110
v5483,8
v5484,69
v5485,290
v5486,243
v5488,2784
v5491,74
v5492,311
v5493,9
v5494,177
v5495,1078
v5496,118
v5497,2092
v5498,2514
v5499,94
v5500,743
v5501,2045
v5502,2671
v5506,1470
v5507,243
v5508,685
v5509,333
v5510,5
v5511,6
v5512,1
v5514,334
v5515,64
v5518,12
v5519,4240
v5522,14
v5526,159
v5528,6
v5530,853
v5531,108
v5532,68
v5537,11
v5539,394
v5540,279
v5542,66
v5548,15
v5549,4878
v5550,8
v5551,2
v5552,2
v5554,722
v5562,2054
v5563,176
v5564,137
v5565,16
v5566,2
v5567,338
v5568,39
v5570,45
v5575,2465
v5576,10
v5577,12
v5578,792
v5579,5
v5581,14
v5582,1852
v5583,1214
v5584,11
v5585,767
v5586,56
v5597,15
v5603,10
v5607,104
v5608,1167
v5609,1051
v5612,224
v5613,32
v5614,2
v5616,265
v5618,2
v5619,94
v5624,439
v5625,3
v5627,14
v5628,1172
v5632,126
v5633,138
v5635,2132
v5636,292
v5637,250
v5639,3
v5641,374
v5647,14
v5650,422
v5652,8175
v5653,1036
v5654,653
v5655,509
v5656,1080
v5657,7223
v5659,59
v5660,92
v5661,5
v5664,73
v5667,1857
v5668,91
v5669,10
v5671,31
v5674,1
v5678,21
v5679,1
v5684,1
v5685,101
v5688,152
v5689,56
v5690,1150
v5691,1846
v5698,62
v5699,30
v5704,2
v5705,8
v5709,14
v5710,16
v5711,1460
v5712,1
v5714,182
v5715,626
v5716,7
v5720,1544
v5721,104
v5723,11
v5724,156
v5725,160
v5732,103
v5734,3858
v5741,9
v5742,66
v5743,4332
v5744,3729
v5746,990
v5747,659
v5748,9
v5752,1
v5754,457
v5755,1513
v5756,1002
v5757,481
v5758,127
v5760,1306
v5761,1290
v5762,613
v5763,820
v5764,2222
v5765,62
v5766,935
v5767,15
v5769,23
v5771,82
v5773,35
v5776,115
v5780,1625
v5781,1
v5782,900
v5783,1523
v5785,1001
v5792,338
v5793,31
v5795,9
v5796,1280
v5798,31
v5799,2
v5801,30
v5804,68
v5807,3
v5820,5
v5821,2027
v5829,238
v5830,57
v5831,16
v5834,4958
v5835,123
v5836,1
v5838,27
v5841,806
v5843,2111
v5844,2231
v5848,696
v5850,446
v5852,1
v5853,54
v5854,318
v5855,1076
v5856,45
v5857,362
v5858,359
v5859,255
v5860,194
v5861,261
v5862,1587
v5865,11
v5870,16
v5871,2775
v5874,4
v5875,1
v5877,328
v5881,8
v5883,2650
v5884,1612
v5886,3
v5891,77
v5895,2701
v5896,14
v5897,156
v5900,14
v5901,70
v5903,4
v5905,181
v5907,468
v5909,2437
v5910,983
v5911,14
v5912,109
v5914,204
v5916,3177
v5917,698
v5918,1040
v5919,194
v5922,6828
v5924,10
v5928,165
v5930,184
v5931,1663
v5932,3177
v5933,105
v5936,1282
v5937,1923
v5938,69
v5939,206
v5942,4180
v5943,1931
v5944,338
v5945,1
v5947,1344
v5948,166
v5949,1006
v5950,271
v5951,139
v5957,5
v5961,91
v5962,209
v5963,139
v5965,54
v5966,102
v5967,65
v5974,41
v5980,3
v5981,23
v5994,5
v5999,1
v6003,252
v6005,9
v6007,2170
v6009,250
v6010,3
v6011,7
v6012,497
v6016,85
v6017,9
v6018,706
v6019,1608
v6020,927
v6021,592
v6022,372
v6024,4
v6025,15
v6026,58
v6029,59
v6031,59
v6032,155
v6034,26
v6035,784
v6036,275
v6037,28
v6042,118
v6043,3
v6044,33
v6046,33
v6047,27
v6049,8
v6051,18
v6053,25
v6058,1943
v6059,1001
v6066,267
v6067,140
v6068,3
v6075,17
v6079,852
v6081,98
v6083,66
v6085,165
v6086,76
v6090,167
v6092,13
v6094,359
v6095,1677
v6096,3010
v6099,2
v6104,13
v6107,50
v6108,41
v6109,3964
v6112,244
v6113,17
v6115,669
v6117,105
v6121,7
v6122,501
v6128,71
v6131,1889
v6142,15
v6145,2469
v6147,7
v6148,45
v6152,3
v6154,721
v6157,1262
v6158,3
v6159,223
v6166,227
v6167,9
v6168,4
v6170,132
v6173,2838
v6174,1202
v6185,316
v6186,35
v6189,32
v6190,399
v6194,1
v6201,104
v6202,10
v6204,186
v6209,10
v6212,1117
v6215,8
v6216,9
v6217,107
v6220,6
v6223,89
v6224,176
v6239,1
v6242,1612
v6245,8348
v6246,367
v6247,568
v6248,242
v6249,236
v6250,2616
v6255,37
v6256,912
v6261,16
v6262,72
v6265,25
v6266,78
v6267,682
v6270,335
v6274,18
v6275,111
v6276,31
v6282,3178
v6289,5
v6290,4
v6291,3622
v6292,2
v6293,11
v6297,25
v6301,1
v6303,100
v6306,1334
v6307,113
v6310,308
v6311,464
v6312,259
v6313,333
v6314,141
v6315,2
v6318,8
v6319,85
v6320,53
v6321,24
v6322,1213
v6331,655
v6333,148
v6334,2727
v6335,200
v6339,154
v6341,2409
v6344,1076
v6345,661
v6346,5171
v6348,58
v6349,213
v6350,3025
v6351,11
v6352,28
v6353,825
v6354,1552
v6355,7162
v6356,948
v6357,6686
v6358,1561
v6359,3976
v6360,2138
v6361,62
v6362,973
v6363,265
v6365,1
v6366,4
v6367,13
v6371,3
v6372,484
v6373,83
v6377,7
v6379,25
v6382,1854
v6383,14
v6384,4
v6385,8
v6387,2
v6389,257
v6393,1243
v6394,392
v6395,380
v6396,3
v6403,40
v6406,68
v6408,3
v6409,483
v6411,2744
v6412,35
v6413,58
v6414,2805
v6415,1589
v6416,295
v6417,66
v6418,12
v6419,193
v6420,197
v6426,2137
v6427,1341
v6429,2185
v6431,1
v6432,160
v6433,183
v6434,209
v6435,1041
v6437,97
v6438,5981
v6439,7
v6444,593
v6448,5
v6453,6
v6455,735
v6456,546
v6457,1
v6458,7267
v6459,116
v6460,49
v6465,16
v6466,79
v6468,139
v6469,343
v6471,1277
v6472,5542
v6473,2003
v6474,11
v6475,1479
v6478,90
v6479,1
v6482,4
v6483,10
v6484,481
v6485,95
v6487,150
v6488,303
v6489,279
v6491,999
v6492,2731
v6498,1701
v6499,1
v6500,2784
v6501,1648
v6505,18
v6508,568
v6509,724
v6510,214
v6518,20
v6520,7
v6521,858
v6523,1881
v6525,82
v6526,1686
v6527,3
v6528,48
v6530,15
v6533,1304
v6534,334
v6538,1512
v6539,148
v6540,9632
v6542,82
v6544,67
v6545,720
v6552,381
v6553,437
v6554,210
v6555,7
v6556,121
v6560,84
v6561,2
v6564,88
v6568,24
v6569,17
v6570,1423
v6572,1906
v6573,1086
v6574,6
v6579,846
v6581,2557
v6582,384
v6583,1232
v6584,78
v6585,366
v6589,3862
v6590,1608
v6591,1974
v6592,82
v6593,4408
v6595,23
v6598,18
v6599,51
v6603,7
v6604,4
v6606,158
v6611,1661
v6613,254
v6614,4
v6615,15
v6616,65
v6617,133
v6618,2773
v6623,1730
v6625,110
v6626,963
v6630,79
v6631,775
v6632,30
v6633,7
v6634,1829
v6638,307
v6639,2594
v6648,160
v6649,525
v6652,295
v6654,18
v6656,1081
v6658,5
v6660,5
v6661,10
v6662,3547
v6663,3394
v6664,3
v6667,10
v6668,2070
v6670,18
v6671,1607
v6672,44
v6678,1410
v6679,891
v6680,957
v6681,251
v6682,6489
v6684,259
v6686,148
v6687,8
v6688,5573
v6690,1391
v6692,7
v6693,212
v6694,6
v6696,48
v6697,453
v6700,2845
v6702,14
v6706,3720
v6710,5996
v6711,328
v6712,443
v6713,1044
v6714,3751
v6715,244
v6716,710
v6717,1341
v6718,1253
v6719,865
v6723,1006
v6724,3
v6728,392
v6729,238
v6730,362
v6731,207
v6732,132
v6733,115
v6734,14
v6735,4
v6736,251
v6738,47
v6739,197
v6743,62
v6744,307
v6745,104
v6746,124
v6747,3823
v6748,2904
v6749,336
v6750,530
v6751,3108
v6752,2022
v6754,1
v6755,1662
v6756,460
v6757,2169
v6758,4542
v6760,5
v6761,5
v6762,3732
v6763,1680
v6764,1447
v6765,15
v6766,2920
v6769,67
v6771,392
v6772,6
v6773,300
v6775,5
v6777,34
v6780,82
v6793,217
v6796,90
v6797,825
v6801,201
v6802,68
v6808,60
v6810,3
v6811,16
v6817,287
v6818,32
v6819,617
v6820,1304
v6824,370
v6825,28
v6826,3
v6830,14
v6834,6
v6837,21
v6838,4
v6839,7
v6840,172
v6844,14
v6849,2117
v6854,1003
v6878,10
v6883,19
v6884,138
v6885,11
v6900,503
v6902,52
v6903,782
v6904,627
v6905,223
v6906,1865
v6908,96
v6913,220
v6915,1507
v6916,87
v6917,223
v6918,1217
v6923,2
v6924,1004
v6928,90
v6935,2
v6940,49
v6943,98
v6947,13
v6949,752
v6950,271
v6951,15
v6955,134
v6956,189
v6957,132
v6958,50
v6962,3
v6964,45
v6966,2
v6969,7
v6972,7
v6974,254
v6976,6
v6979,169
v6980,312
v6984,27
v6985,6319
v6991,1304
v6992,883
v6996,374
v7000,2396
v7001,4165
v7002,1584
v7003,960
v7004,634
v7006,2147
v7009,989
v7011,591
v7013,30
v7014,7820
v7015,189
v7018,338
v7019,18
v7020,68
v7021,987
v7022,3513
v7023,2474
v7024,1056
v7025,2312
