vid,titles,publishers
1646,告别回忆6 ～三角波澜～|秋之回忆6～T-wave～|Memories Off 6: T-Wave|秋之回忆6|秋之回忆6～T-Wave～|秋之回忆6~三角波澜~,娱乐通|MAGES.|株式会社スパイク・チュンソフト|KIDS Fans Channel|chen_xin_ming
2002,STEINS;GATE CN|命运石之门：精英|STEINS;GATE HD CN|命运石之门|STEINS;GATE RE:BOOT|命运石之门PSP|命运石之门STEAM完全汉化补丁|命运石之门HD,MAGES.|株式会社スパイク・チュンソフト|扑家汉化组|KIDS Fans Channel|株式会社MAGES.|科学社|WeTor|无节操汉化组
3770,穢翼的由丝蒂娅|秽翼的尤斯蒂娅,CK-GAL中文化小组|月桂琉璃汉化组|魔法少年えすか☆エムカ|枫笛汉化组
4028,恋爱与选举与巧克力|恋爱选举巧克力|恋爱选举巧克力 Portable,株式会社 HIKARI FIELD|NekoNyan|恋爱选举巧克力应援团|PikkaWorks
8038,美少女万华镜 - 被诅咒之传说少女|美少女万华镜 -被诅咒之传说少女-|美少女万华镜1 步兵解码补丁,冥月汉化组|风心の息|ruje0504|阡陌
8203,圣灵家族 Rinato|阿尔卡那家族,HuneX|COMFORT|Dramatic Create|夜鸮汉化组|Game Source Entertainment
8213,Dracu-riot!|DRACU-RIOT!,株式会社 HIKARI FIELD|NekoNyan|萌空汉化组|DR敢死队|柚子汉化部|废萌帝国|banhara
9409,VenusBlood FRONTIER International - R18 Patch for Steam|VenusBlood FRONTIER International 中国語版 R-18版|Venus Blood -Frontier-,JAST USA|dualtail|心愿屋汉化组|Kagura Games|大师♂罗莊
10051,不可逾越的红花～双月～ 包版|不可逾越的红花～双月～|不可逾越的红花|不可逾越的红花～双月～ 盒装版|不可逾越的红花～双月～ 下载版,HuneX|Dramatic Create|心游之域|SEGA Taiwan
11029,NOeSIS01_诉说谎言记忆物语|NOeSIS~诉说谎言的记忆之物语~|NOeSIS 诉说谎言的记忆,Hikare|喵喵咪咪工作室|Pure Do|Red × Balloon
12402,海市蜃楼之馆 - Download Edition|海市蜃楼之馆 - 下载版|海市蜃楼之馆 - Remaid of Dreams|海市蜃楼之馆 -游魂归梦-|海市蜃楼之馆,"MangaGamer|轻语工作室|XXGame汉化组|Crunchyroll, LLC|FataRemaid"
12849,苍之彼方的四重奏 - R18补丁|蒼之彼方的四重奏 完备版|苍蓝彼端的四重奏 完备版|苍之彼方的四重奏|苍之彼方的四重奏 18+ 补丁|苍之彼方的四重奏 - Censored Edition,萌你妹汉化组|北见六花应援同好会|株式会社 HIKARI FIELD|NekoNyan|Team Myskrpatch|Graber|PikkaWorks
13321,我的超级现充生活 for Nintendo Switch|我的现实生活太过于充实|我的超级现充生活 全语音版,株式会社HotchPotch|曜哥|Squad Tiramisù|CIRCLE LINE GAMES
13711,航迹云的彼方,航迹云汉化组|绿茶汉化组|伊甸学院|航迹云同好会
15053,D.M.L.C.！ 欢闹炸恋生死斗|死亡游戏恋爱喜剧|死亡竞赛恋爱喜剧,株式会社ケムコ|天邈汉化组|時枝柑夜|CIRCLE LINE GAMES
15641,VenusBlood-HYPNO-|VenusBlood HOLLOW International - R18 Patch for DL Edition|VenusBlood -HYPNO-,JAST USA|dualtail|心愿屋汉化组|VBH汉化委员会|Kagura Games
16510,Harmonia - Package Edition|Harmonia|Harmonia - Download Edition|harmonia for psvita,株式会社プロトタイプ|株式会社ビジュアルアーツ|X'moe汉化组|阡陌
16845,妹妹的圣域|妹的圣域 - 18+ DLC|妹的圣域,Sekai Project|脸肿汉化组|Denpasoft|1CH汉化组
18131,爱上火车-Pure Station-|爱上火车 -Pure Station-,創意圈電腦娛樂公司|Lose|株式会社 HIKARI FIELD|Winking Entertainment
18148,野良与皇女与流浪猫之心 5周年纪念 - 猫的视角100弹|野良与皇女与流浪猫之心 VFB|野良和皇女和流浪猫之心|野良与皇女与流浪猫之心,未來數位|Fruitbat Factory|心愿屋汉化组|株式会社 HIKARI FIELD|绿茶汉化组|萌木同好会|TOKYOTOON
18852,天津罪 萤HS汉化补丁|天津罪,绿茶汉化组|神代萤|TamaMako|iTsukezigen|白鹭园艺移植组
19073,千恋*万花|千恋＊万花,城彩学园汉化组|心愿屋汉化组|落樱汉化组|株式会社 HIKARI FIELD|Limited Run Games|NekoNyan
19182,美少女万华镜－罪与罚的少女－|美少女万华镜4 —罪与罚的少女—|美少女万华镜4 去码步兵补丁,萌你妹汉化组|脸肿汉化组|瑞树汉化组|风心の息
19302,学校的圣域 - Censored Edition|学校的圣域|学校的圣域 - 18+ DLC,Sekai Project|脸肿汉化组|Denpasoft|1CH汉化组|黙示游戏中文化兴趣小组
19595,星恋＊闪烁|星恋＊Twinkle|星恋*twinkle,城彩学园汉化组|心愿屋汉化组|落樱汉化组|小鳥遊 暁
19658,永不枯萎的世界与终结之花|永不枯萎的世界与终焉之花 - 18+ Patch|永不枯萎的世界与终焉之花|永不枯萎的世界与终焉之花 - Censored Edition|不败世界与终焉之花,梦恋星空汉化组|终之花汉化组|Shiravune|小鳥遊 暁
19841,野良与皇女与流浪猫之心2,Fruitbat Factory|株式会社 HIKARI FIELD|绿茶汉化组|欧剋字幕组|TOKYOTOON
20002,你的眼眸命中我心头|你的眼眸命中我心头 HS补全补丁|被你的眼神打动|你的眼眸命中我心头 增值内容,HIKARI PULSE|HRR汉化委员会|瞳神万古|漓汐汉化组
20424,Summer Pockets|夏日口袋 流光蓝|Summer Pocket|Summer Pockets Reflection Blue,株式会社プロトタイプ|株式会社ビジュアルアーツ|枫笛汉化组|夏日纯臻汉化组|琉璃花色工作室|WeTor|萌田薰子汉化组
21852,金辉恋曲四重奏 - 18+ Steam Patch|金辉恋曲四重奏 - 1440p patch|金辉恋曲四重奏 - 1440p Steam patch|金色Loveriche|金辉恋曲四重奏|金辉恋曲四重奏 - Censored Edition,萌えAPP|株式会社 HIKARI FIELD|仲夏夜会汉化组|NekoNyan|PikkaWorks
22230,Riddle Joker,黙示游戏中文化兴趣小组|株式会社 HIKARI FIELD|NekoNyan|弥生月汉化组
22505,《混沌之脑：诺亚》Steam/GoG 汉化补丁|CHAOS;HEAD NOAH 汉化预览版补丁|混沌之脑：诺亚,风铃汉化组|科学社|Android Galgame 研究组|呕吐蛙汉化组
23516,,Sekai Project|MyDearest|Sekai Games|イザナギゲームズ
24208,泡沫冬景：樱色零落&景色萧然|Christmas Tina ‐泡沫冬景‐|Christmas Tina|Christmas Tina -泡沫冬景- 寒酥限定版|泡沫冬景|Christmas Tina DLC|Christmas Tina ‐泡沫冬景-,ねこねこソフト|MangaGamer|Nekoday|Coconut Island Games|mirai works|旅人计划
26000,任性魅惑|异想魅惑 - 18+ DLC|异想魅惑,Sekai Project|萌你妹汉化组|Denpasoft|胖次汉化组
26414,星光咖啡馆与死神之蝶 - Censored Edition|星光咖啡馆与死神之蝶 - 18+ Patch|星光咖啡馆与死神之蝶,株式会社 HIKARI FIELD|NekoNyan|弥生月汉化组|天之圣杯汉化组
26581,巧克甜恋 - 18+ DLC|巧克甜恋,Sekai Project|HuneX|Dramatic Create|Denpasoft|SEGA Taiwan
26987,白日梦的构想图|白日梦的构想图 - Censored Edition,Laplacian|Syawase Works|The Math God|Dir-A
27057,美少女万华镜 -理与迷宫的少女-|美少女万华镜 -理与迷宫的少女- Steam版|美少女万华镜 - 天道与迷宫的少女 -|美少女万華鏡 ー理と迷宮の少女ー|美少女万华镜 -理与迷宫的少女- Steam版18+补丁|美少女万华镜5 去码步兵补丁,萌你妹汉化组|弥生月汉化组|合同会社Seikei Production|莲衷汉化组|芸镜汉化组|风心の息
27236,一生推不如一生恋 - Download Edition,株式会社プロトタイプ|萌えAPP|ハブロッツ|SukeraSomero|mirai works
27747,planetarian～星之梦＆雪圏球～|星之梦·雪圈球|planetarian ~Snow Globe~ for PSVITA,株式会社プロトタイプ|株式会社ビジュアルアーツ|超巨星汉化组|阡陌
29443,星之终途 - First Press Limited Edition|星之终途 - Download Edition|星之终途|星之终途 - Regular Edition,Key|株式会社プロトタイプ|株式会社ビジュアルアーツ|绿茶汉化组|琉璃花色工作室|阡陌
29444,恋月物语 - Download Edition|恋月物语 通常版|恋月物语 初回限定版|LUNARiA -Virtualized Moonchild-|LUNARiA 恋月物语|恋月物语 - 虚拟的月之公主 -,株式会社プロトタイプ|株式会社ビジュアルアーツ|绿茶汉化组|夏日纯臻汉化组|琉璃花色工作室
29445,时廻者|Loopers 时廻者,株式会社プロトタイプ|株式会社ビジュアルアーツ|绿茶汉化组|琉璃花色工作室
31138,一生推不如一生恋~love or die~,株式会社プロトタイプ|ハブロッツ|SukeraSomero|mirai works
32811,劈腿之恋|恋爱成双 - Censored Edition|恋爱成双 - 18+ Patch|恋爱成双,NekoNyan|靴下汉化组|Kagura Games|英俊
33205,灵感满溢的甜蜜创想凸|常轨脱离Creative凸 18+ patch|常轨脱离Creative 凸,Sekai Project|Denpasoft|白井木学园汉化组|他＆她❀心渐近汉化组|TamaMako
40520,天使☆嚣嚣 RE-BOOT! 场景剧情补丁|天使☆纷扰 RE-BOOT!|天使☆嚣嚣 RE-BOOT! - Censored Edition|天使☆嚣嚣 RE-BOOT!,株式会社 HIKARI FIELD|NekoNyan|弥生月汉化组|英俊|GPT RE-BOOT!
41339,巧克甜恋3 - Censored Edition|巧可甜恋3|巧克甜恋3 - 18+ DLC|巧克甜恋3,Sekai Project|Denpasoft|魔法猫咪汉化实验室|白鹭园艺移植组
42561,灵异视界 FILE 23 本所七大不思议|灵异视界 FILE23 本所七大不可思议|灵视异闻 FILE23 本所七大不可思议,スクウェア・エニックス|东东|XXGame汉化组|七不思议汉化组
47175,天选庶民的真命之选|承命抉择Oblige|天选庶民的真命之选 场景剧情补丁,株式会社 HIKARI FIELD|土豆培根汉化组|英俊|月乃美滨汉化组
