vid,title_ja,title_zh,c_votecount,c_rating,cnt,char_names
20159,タンテイセブン,,54,6.7,4,海老一真珠;阿部摩り耶;露梨子かすみ;海老一辰砂
1336,ツンな彼女 デレな彼女,,44,6.69,4,橘美里;二ノ宮凪;紫藤凛彩;南月つぐみ
1353,ホシツグヨ,,8,6.6,4,高村ほのか;九龍明日羽;九龍美咲;日乃宮和奏
20424,Summer Pockets,Summer Pockets,4142,8.47,4,鳴瀬しろは;久島鴎;空門蒼;野村美希
20521,夏色ラムネ,夏色汽水,67,7.0,4,坂下弥生;小嶋美咲;山崎佳奈子;本庄優希
22045,かりぐらし恋愛,寄宿之恋,405,7.53,4,桜木橋理兎;荒波杏;新妻ひより;世計絢花
22014,約束の夏、まほろばの夢,,66,6.96,4,神宮りんか;東渚沙;一ノ瀬星里奈;風見陽鞠
19272,ユウワク スクランブル,,48,6.99,3,星見明日香;星見夕姫;星見美空
19223,シルヴァリオトリニティ,,104,8.18,3,レイン・ペルセフォネ;ミステル・バレンタイン;アヤ・キリガクレ
18907,見上げてごらん、夜空の星を FINE DAYS,,499,7.77,3,箒星ひかり;天ノ川沙夜;日下部ころな
33944,Final Dragon Chronicle: Guilty Requiem,,31,6.91,3,向坂環;柚原このみ;草壁優季
32132,アイキス３,,50,7.52,3,漆原莉子;三枝ヒナタ;三枝アヤメ
53486,廃村少女［弐］　～陰り誘う秘姫の匣～,,48,7.31,3,シンジュ;御汐陽渚;新沼鈴
53485,廃村少女 外伝 ～嬌絡夢現～,,54,7.04,3,エマ・A・薬師院;烏野つばめ;古戸由良々
49227,コイバナ恋愛 ミニファンディスク アフターフェスティバル,八卦恋爱 after festival,88,7.23,3,安達千依;夕暮常夜;遙叶梨
44098,俺の瞳で丸裸！不可知な未来と視透かす運命,我的眼睛看光光！不可知的未来与透视的命运,119,7.24,3,八重桜神愛;来栖光流;五影仄華
456,幼なじみと甘～くエッチに過ごす方法,,28,7.18,3,涼風あすか;御堂琴音;エミリー・ウィンスレット
33,Kanon,Kanon,3949,7.7,3,月宮あゆ;水瀬名雪;川澄舞
466,何処へ行くの、あの日,那一天、去往何方,55,7.1,3,神崎千尋;茂木一葉;麻生桐季
18,To Heart,,132,6.95,3,神岸あかり;長岡志保;宮内レミィ
20,ToHeart2,,1033,7.33,3,向坂環;柚原このみ;草壁優季
398,つよきす2学期,,94,6.63,3,蟹沢きぬ;鉄乙女;近衛素奈緒
397,つよきす,,258,7.54,3,蟹沢きぬ;鉄乙女;近衛素奈緒
16539,「真剣で私に恋しなさい！」ドラマCD,,33,7.21,3,川神百代;川神一子;椎名京
20684,お嬢様は素直になれない,,113,7.38,3,緋神久遠;壬生なつき;近衛六花
16069,夏の色のノスタルジア,追忆夏色年华,195,7.2,3,真鶴みさき;真乗寺文音;摩庭祥子
15869,ハルキス,,166,7.04,3,白石葵;瀬戸このみ;兵藤天音
15584,彼女と俺と、恋するリゾート ～彼女と俺と恋人と。＆恋する夏のラストリゾートWファンディスク～,,92,7.47,3,徳吉優子;幸崎羽海;狩生渚
15727,ハナヒメ＊アブソリュート！,花姬Absolute!,71,7.12,3,猫屋敷メア;愛内陽良子;熊埜御堂あやね
1483,きっと、澄みわたる朝色よりも、,从晴朗的朝色泛起之际开始,484,8.3,3,与神ひよ;夢乃蘭;樫春告
19444,スキとスキとでサンカク恋愛,青春×好奇相伴的三角恋爱,2373,6.98,3,小森江七瑠;小森江すず;鳴滝真帆
1506,ラムネ,波子汽水,89,7.25,3,近衛七海;仲里ひかり;佐倉裕美
22313,"さくら、もゆ。-as the Night's, Reincarnation-","樱花萌放-as the Night's, Reincarnation-",699,8.54,3,柊ハル;杏藤千和;夜月姫織
1464,絶対★妹至上主義！！,,40,6.59,3,友里円;友里湊;霧崎ゆかり
1445,Aster,,94,7.67,3,柚月沙希;柚月沙耶;小田巻雛
1398,夜明け前より瑠璃色な -Moonlight Cradle-,更胜黎明前的琉璃色 -Moonlight Cradle-,154,7.74,3,フィーナ・ファム・アーシュライト;鷹見沢菜月;ミア・クレメンティス
